,player,player_id,position,ï..season,Team,Cap.Number,Cash.Spent,snap_counts_offense,Year,experience,y1_pff,y1_touchdowns,y1_receptions,y1_yac,y1_salary,y1_snaps,y2_pff,y2_touchdowns,y2_receptions,y2_yac,y2_salary,y2_snaps,y3_pff,y3_touchdowns,y3_receptions,y3_yac,y3_salary,y3_snaps,y4_pff,y4_touchdowns,y4_receptions,y4_yac,y4_salary,y4_snaps,y5_pff,y5_touchdowns,y5_receptions,y5_yac,y5_salary,y5_snaps
1345,Antonio Callaway,48101,WR,2018,Browns,659464,1197856,230,2018,1,63.6,5,43,233,1197856,230,54.8,0,8,44,NA,45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1384,Tre'Quan Smith,48228,WR,2018,Saints,684256,1297024,228,2018,1,68.7,5,28,110,1297024,228,64.4,5,18,113,616500,151,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1041,Jarvis Landry,8698,WR,2014,Dolphins,631802,1267208,216,2014,1,78,5,84,448,1267208,216,87.8,4,110,571,577950,256,83.6,4,94,630,735900,360,79.5,9,112,523,893850,301,74.7,4,81,283,21500000,312
1397,Diontae Johnson,33441,WR,2019,Steelers,778357,1628428,195,2019,1,67.9,5,59,311,1628428,195,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1361,Dante Pettis,48113,WR,2018,49ers,1163738,3214952,166,2018,1,68.5,5,27,214,3214952,166,56.4,2,11,26,770935,156,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
943,Kenny Stills,7926,WR,2013,Saints,453613,599452,160,2013,1,62.6,5,32,195,599452,160,78.4,3,63,190,495000,141,59.9,3,27,107,585000,162,67.7,9,42,187,1671000,302,59.9,6,58,162,9000000,290
989,Terrance Williams,7855,WR,2013,Cowboys,559868,1024472,158,2013,1,66.2,5,44,215,1024472,158,66.2,8,37,102,530000,324,69.9,3,52,275,625000,235,71.7,4,44,164,1671000,276,65.3,0,53,237,6000000,224
1050,John Brown,8726,WR,2014,Cardinals,555725,962900,155,2014,1,69.7,5,48,179,962900,155,80.1,7,65,332,522000,275,71.4,2,39,111,612000,167,58,3,21,60,1797000,150,65.9,5,42,169,5000000,240
1352,Courtland Sutton,48164,WR,2018,Broncos,1243987,3535948,244,2018,1,63.8,4,42,167,3535948,244,83.1,6,72,361,790997,356,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1178,Stefon Diggs,9579,WR,2015,Vikings,491928,662712,230,2015,1,77.7,4,52,300,662712,230,79.1,3,84,310,525000,192,81.7,8,64,297,615000,288,81.1,9,102,438,16907000,240,78.8,6,63,313,9500000,316
1243,Malcolm Mitchell,10746,WR,2016,Patriots,594498,1027992,209,2016,1,67.9,4,32,162,1027992,209,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
895,Aaron Dobson,7840,WR,2013,Patriots,623340,1278360,204,2013,1,63.6,4,37,197,1278360,204,67.9,0,3,22,560835,27,60.4,0,13,35,716670,56,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1131,Dorial Green-Beckham,9473,WR,2015,Titans,1018837,2770348,149,2015,1,71,4,32,147,2770348,149,59.9,2,36,147,689709,195,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
831,Kendall Wright,7026,WR,2012,Titans,1494264,4807056,138,2012,1,67.7,4,64,330,4807056,138,81.5,2,94,593,763566,246,70.8,6,57,376,1137132,180,69.6,3,36,154,1510698,117,72.1,3,29,122,7320000,68
1398,Hunter Renfrow,47509,WR,2019,Raiders,573987,810948,134,2019,1,75.5,4,49,312,810948,134,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
906,Cordarrelle Patterson,7810,WR,2013,Vikings,1312918,4036672,127,2013,1,80.3,4,45,286,4036672,127,67.2,1,33,170,733229,171,67.6,0,2,3,1061458,38,64.5,2,52,327,1389687,138,65.5,0,31,214,5250000,128
928,Justin Hunter,7815,WR,2013,Titans,986209,2729836,115,2013,1,68.5,4,18,92,2729836,115,62.9,3,28,186,651552,194,63.1,1,22,41,898104,121,62.3,4,10,27,555882,98,56.2,1,4,13,855000,15
985,Tavon Austin,7789,WR,2013,Rams,2318364,8058456,95,2013,1,70,4,40,229,8058456,95,59.9,0,31,172,984591,149,69.6,5,52,345,1564182,246,61.3,3,58,273,5522884,200,63.1,0,13,81,14977116,87
852,Mohamed Sanu,7084,WR,2012,Bengals,530813,953252,84,2012,1,71.7,4,16,79,953252,84,62.8,2,47,255,490000,264,67.6,5,56,334,590000,421,56.9,0,33,209,1542000,198,74.6,4,59,299,8000000,266
978,Robert Woods,7822,WR,2013,Bills,884867,2324468,392,2013,1,63.9,3,40,112,2324468,392,68.6,5,64,208,626217,291,61.8,3,47,146,847434,296,71.4,1,51,127,1068650,252,79.1,5,56,286,7300000,267
1395,Deebo Samuel,48274,WR,2019,49ers,1399519,4113076,268,2019,1,74.5,3,57,484,4113076,268,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1019,Davante Adams,8688,WR,2014,Packers,715164,1600656,243,2014,1,60.5,3,38,185,1600656,243,57.7,1,50,145,598791,239,70.2,12,75,407,777582,239,80.5,10,74,345,18956373,240,87.8,13,111,477,7000000,258
152,David Gettis,5721,WR,NA,NA,NA,NA,239,2010,1,64.4,3,37,169,NA,239,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1407,Olabisi Johnson,47882,WR,2019,Vikings,513644,569576,233,2019,1,66.2,3,31,67,569576,233,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1405,Miles Boykin,48209,WR,2019,Ravens,709232,1351928,232,2019,1,60.9,3,13,17,1351928,232,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
797,Chris Givens,7096,WR,2012,Saints,390833,392500,225,2012,1,71.4,3,42,286,392500,225,61,0,34,262,303000,311,56.2,1,11,42,570000,66,59.5,1,20,55,1179176,162,NA,NA,NA,NA,NA,NA
799,Chris Givens,7096,WR,2012,Rams,514257,887028,225,2012,1,71.4,3,42,286,887028,225,61,0,34,262,303000,311,56.2,1,11,42,570000,66,59.5,1,20,55,1179176,162,NA,NA,NA,NA,NA,NA
1351,Christian Kirk,47546,WR,2018,Cardinals,1071795,2847180,175,2018,1,70.3,3,43,229,2847180,175,62.5,3,68,296,747949,243,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1124,DeVante Parker,9447,WR,2015,Dolphins,1977553,6605212,156,2015,1,72.9,3,26,102,6605212,156,76.1,4,56,244,929388,281,69.5,1,57,201,1423776,200,69.2,1,24,97,1918164,168,79.2,9,72,269,14500000,230
1222,Corey Coleman,10649,WR,2016,Browns,2119088,7126352,155,2016,1,61.7,3,33,100,7126352,155,60.3,2,23,27,979772,138,60,0,5,10,370588,56,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1322,Kenny Golladay,11851,WR,2017,Lions,644706,1183824,155,2017,1,68,3,28,177,1183824,155,81,5,70,350,586000,293,79.9,11,65,303,676000,313,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
996,Brandin Cooks,8655,WR,2014,Saints,1524264,4837056,150,2014,1,68.8,3,53,171,4837056,150,73.1,9,84,370,801066,275,73,8,78,367,1182132,232,70.9,7,65,235,1563198,386,79.7,5,80,352,11000000,360
785,Alshon Jeffery,7048,WR,2012,Bears,826879,2137516,149,2012,1,66,3,24,72,2137516,149,86.6,7,89,406,596719,317,76.6,10,85,483,803438,286,92,4,54,197,1010157,207,74.5,2,52,192,11163941,231
348,Jordan Shipley,5608,WR,NA,NA,NA,NA,142,2010,1,66.9,3,52,197,NA,142,47.7,0,4,0,NA,11,63.1,1,23,43,NA,56,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1033,Donte Moncrief,8725,WR,2014,Colts,555880,963520,132,2014,1,72,3,32,215,963520,132,72,6,64,262,525000,267,73.4,7,30,75,615000,160,61.1,2,26,79,1797000,211,62.3,3,48,233,9600000,248
872,Stephen Hill,7047,WR,2012,Jets,856791,2257164,129,2012,1,56.6,3,21,38,2257164,129,60.6,1,24,96,604197,246,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1137,Jaelen Strong,9503,WR,2015,Texans,627996,1206984,110,2015,1,64.6,3,14,70,1206984,110,55.1,0,14,26,570000,97,64.9,1,3,14,80588,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
960,Marquise Goodwin,7859,WR,2013,Bills,554719,1003876,107,2013,1,68.5,3,17,54,1003876,107,51.4,0,1,5,525000,25,72.4,0,2,0,615000,17,62.1,3,29,95,710000,227,77,2,56,193,4500000,256
866,Rueben Randle,7065,WR,2012,Giants,598533,1224132,76,2012,1,76.1,3,19,73,1224132,76,69.2,6,41,209,539633,141,76.9,3,71,227,689266,338,63.9,8,57,202,838899,343,NA,NA,NA,NA,NA,NA
915,DeAndre Hopkins,7808,WR,2013,Texans,1386673,4331692,344,2013,1,68.7,2,52,176,4331692,344,84,6,76,384,751668,481,90.4,11,111,216,1098336,446,77.5,4,78,250,1445004,430,90.2,13,96,346,24000000,390
682,Greg Little,6211,WR,2011,Browns,605000,1295000,329,2011,1,58.7,2,61,247,1295000,329,65.3,4,53,199,526250,328,53.6,2,41,188,677500,250,55.7,0,6,31,417353,50,NA,NA,NA,NA,NA,NA
1339,Zay Jones,11792,WR,2017,Bills,1232690,3535760,307,2017,1,55.2,2,27,69,3535760,307,62.2,7,56,130,773173,357,53.7,0,27,78,728009,237,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1380,Michael Gallup,26075,WR,2018,Cowboys,702495,1369980,268,2018,1,60.3,2,33,168,1369980,268,74,6,66,333,629000,305,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1266,Tajae Sharpe,10774,WR,2016,Titans,518721,724884,267,2016,1,60.8,2,41,88,724884,267,NA,NA,NA,NA,NA,NA,61.7,2,26,80,630000,241,74.2,4,25,60,2025000,185,NA,NA,NA,NA,NA,NA
1354,D.J. Moore,48267,WR,2018,Panthers,2031148,6684592,261,2018,1,72,2,54,427,6684592,261,82.3,4,87,392,987787,299,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1142,Jamison Crowder,9538,WR,2015,Redskins,571406,980624,245,2015,1,71,2,59,339,980624,245,66.9,7,67,383,525000,231,72.7,3,66,363,615000,197,60.9,2,29,212,1907000,133,72.4,6,78,364,9000000,233
304,Jacoby Ford,5632,WR,2010,Raiders,448961,835845,220,2010,1,66.5,2,25,123,835845,220,72.8,1,19,148,450000,80,NA,NA,NA,NA,NA,NA,55.8,0,13,75,1323000,114,NA,NA,NA,NA,NA,NA
493,Mike Williams,2227,WR,2010,Buccaneers,454562,858250,210,2010,1,79.6,2,65,217,858250,210,59.3,1,18,60,450000,168,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
500,Mike Williams,2227,WR,2010,Seahawks,1670000,2045000,210,2010,1,79.6,2,65,217,2045000,210,59.3,1,18,60,450000,168,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1378,Marquez Valdes-Scantling,47809,WR,2018,Packers,534389,697556,184,2018,1,60.4,2,38,217,697556,184,57,2,26,155,570000,183,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1356,DaeSean Hamilton,45416,WR,2018,Broncos,650660,1162640,179,2018,1,60.1,2,30,71,1162640,179,56.4,1,28,132,570000,232,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
52,Arrelious Benn,5564,WR,NA,NA,NA,NA,170,2010,1,81,2,25,159,NA,170,61.4,3,30,197,NA,197,57.8,0,4,25,NA,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
844,Michael Floyd,7019,WR,2012,Cardinals,1813000,6082000,123,2012,1,63.1,2,45,161,6082000,123,82,5,65,276,843250,332,69.4,6,47,112,1296500,307,81.7,6,52,220,1749750,208,66.3,5,37,68,1291765,246
1338,Trent Taylor,11932,WR,2017,49ers,515487,666948,111,2017,1,68.4,2,43,190,666948,111,56.2,1,26,103,555000,59,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
259,Emmanuel Sanders,5606,WR,2010,Steelers,515356,906069,102,2010,1,72.8,2,28,80,906069,102,70.4,2,22,153,450000,99,69.1,1,44,223,540000,279,71.3,6,67,298,2500000,238,87.9,9,101,381,6000000,380
766,Vincent Brown,6234,WR,2011,Chargers,521517,961068,100,2011,1,69.5,2,19,91,961068,100,NA,NA,NA,NA,NA,NA,64.9,1,41,91,555000,365,61.1,0,12,46,875005,24,64,0,1,2,NA,8
869,Ryan Broyles,7057,WR,2012,Lions,668818,1505272,86,2012,1,71.9,2,22,158,1505272,86,50,0,8,35,557205,73,64.5,0,2,9,724409,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1189,Ty Montgomery,9527,WR,2015,Packers,572871,1027779,81,2015,1,56.8,2,15,94,1027779,81,73.7,0,44,331,NA,62,72.5,1,23,221,NA,44,68.5,0,25,220,NA,62,58.5,0,13,94,NA,34
1406,N'Keal Harry,48297,WR,2019,Patriots,1836063,5859252,79,2019,1,66.6,2,12,45,5859252,79,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
22,Andre Roberts,5612,WR,2010,Cardinals,501050,1044200,77,2010,1,55.9,2,24,136,1044200,77,58.9,2,51,236,450000,291,61.6,5,64,235,540000,210,66.2,2,43,120,1323000,178,61.2,2,36,211,5250000,200
893,Travis Benjamin,7100,WR,2012,Browns,509250,867000,69,2012,1,65.8,2,18,60,867000,69,59.1,0,5,61,480000,36,68.8,3,18,47,570000,178,67,5,68,324,660000,217,67.2,4,47,250,7750000,133
817,Jarius Wright,7118,WR,2012,Vikings,495027,810108,66,2012,1,66.5,2,22,122,810108,66,70.9,3,26,114,480000,96,70.8,2,42,336,570000,129,69.2,0,34,173,4342000,120,61.1,1,11,39,2000000,43
787,Brian Quick,7037,WR,2012,Rams,979382,2747528,58,2012,1,59.2,2,11,30,2747528,58,62.4,2,18,108,634845,120,72.6,3,25,75,879690,137,53.9,0,10,43,1124536,182,60.5,3,41,172,1875000,227
171,Demaryius Thomas,5547,WR,2010,Broncos,1310000,1310000,56,2010,1,79.2,2,22,148,1310000,56,72.2,4,32,126,4875000,258,87.7,10,94,547,3854000,411,81.5,14,92,706,836500,409,89.9,11,111,668,2943750,397
1005,Bruce Ellington,8741,WR,2014,49ers,538607,894428,31,2014,1,67.1,2,6,38,894428,31,63.1,0,13,110,510000,53,NA,NA,NA,NA,NA,NA,57,2,29,127,559235,224,68.3,1,31,110,373235,84
875,T.J. Graham,7071,WR,2012,Bills,557813,1061252,267,2012,1,52.4,1,31,183,1061252,267,57.1,2,23,88,510000,324,59.5,1,3,22,435882,81,60.3,0,4,39,NA,3,NA,NA,NA,NA,NA,NA
1159,Nelson Agholor,9453,WR,2015,Eagles,1704977,5514908,238,2015,1,48.7,1,23,94,5514908,238,52.6,2,36,109,861244,316,73.1,8,62,317,1287488,302,64.8,4,64,347,1713732,347,54.4,3,39,145,9387000,250
1274,Tyler Boyd,10689,WR,2016,Bengals,774358,1747432,225,2016,1,65.1,1,54,213,1747432,225,62,2,22,93,643590,88,84.5,7,76,422,837179,234,73,5,90,358,11330769,300,NA,NA,NA,NA,NA,NA
1285,Chris Godwin,11839,WR,2017,Buccaneers,663041,1257164,173,2017,1,81.9,1,34,173,1257164,173,80.4,7,59,247,581500,235,90.7,9,86,580,677000,306,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
79,Brandon LaFell,5602,WR,2010,Panthers,524600,1138400,158,2010,1,64.6,1,38,142,1138400,158,68.1,3,36,214,450000,223,70,4,44,315,540000,283,65.1,5,49,262,1350000,351,75.3,7,74,361,4300000,339
