"","player","player_id","position","player_game_count","team_name","targets","receptions","caught_percent","yards","touchdowns","grades_offense","grades_pass_route","grades_hands_drop","grades_hands_fumble","grades_pass_block","yards_per_reception","yards_after_catch","yards_after_catch_per_reception","longest","first_downs","drops","interceptions","fumbles","avoided_tackles","targeted_qb_rating","penalties","declined_penalties","season","ï..season","Team","Cap.Number","Cash.Spent","snap_counts_offense","Year","experience"
"357","Jordy Nelson",4350,"WR",15,"OAK",86,63,73.3,739,3,70.7,70.2,90.2,81.6,73,11.7,245,3.9,66,36,1,2,0,3,100.9,0,0,"2018",2018,"Raiders",9168750,10600000,285,2008,"11"
"358","Josh Morgan",4488,"WR",14,"WAS",31,20,64.5,214,0,63.7,58.6,46.6,42.6,72.6,10.7,87,4.4,21,13,3,1,0,2,71.2,2,0,"2013",2013,"Redskins",5100000,4e+06,190,2008,"6"
"359","Josh Morgan",4488,"WR",16,"SF",74,44,59.5,698,2,64.3,62.8,53.4,78.9,76.3,15.9,305,6.9,65,27,5,2,0,12,88.7,4,0,"2010",2010,"49ers",496500,470000,302,2008,"3"
"360","Josh Morgan",4488,"WR",16,"WAS",69,48,69.6,510,2,70.1,67.9,43.3,38.5,NA,10.6,242,5,32,29,7,3,1,10,82.4,3,0,"2012",2012,"Redskins",3100000,7500000,311,2008,"5"
"361","Josh Morgan",4488,"WR",5,"SF",19,15,78.9,220,1,72.3,72.9,81.1,73,NA,14.7,99,6.6,30,12,0,1,0,0,110.5,1,0,"2011",2011,"49ers",626500,6e+05,93,2008,"4"
"362","Josh Morgan",4488,"WR",14,"CHI",18,10,55.6,70,1,52.5,47.1,43.8,72.7,NA,7,47,4.7,13,4,1,2,0,2,43.5,2,0,"2014",2014,"Bears",570000,730000,149,2008,"7"
"363","Julian Edelman",5156,"WR",9,"NE",31,21,67.7,235,3,63.9,64.5,50.8,26.6,NA,11.2,141,6.7,56,12,2,1,0,5,108.9,2,0,"2012",2012,"Patriots",627175,615000,101,2009,"4"
"364","Julian Edelman",5156,"WR",12,"NE",105,74,70.5,850,6,75.2,74.1,49.3,86.6,NA,11.5,349,4.7,36,41,8,2,0,5,105.7,5,1,"2018",2018,"Patriots",3821078,2404412,280,2009,"10"
"365","Julian Edelman",5156,"WR",9,"NE",85,61,71.8,692,7,84.7,82.9,55.5,55.4,70.2,11.3,315,5.2,59,38,7,2,1,15,113.5,3,0,"2015",2015,"Patriots",4656250,2671875,149,2009,"7"
"366","Julian Edelman",5156,"WR",16,"NE",147,100,68,1117,6,72,73.6,62.5,37.2,71.4,11.2,325,3.3,44,54,10,2,3,7,98.4,7,0,"2019",2019,"Patriots",6077615,1e+07,342,2009,"11"
"367","Julian Edelman",5156,"WR",14,"NE",124,92,74.2,971,4,75.8,75.2,49.4,47.6,73.3,10.6,435,4.7,69,49,11,1,2,13,103.9,1,0,"2014",2014,"Patriots",2750000,6500000,245,2009,"6"
"368","Julian Edelman",5156,"WR",12,"NE",8,4,50,32,0,59,56.1,72.1,71.1,NA,8,10,2.5,11,0,0,2,0,2,20.8,2,1,"2011",2011,"Patriots",537175,525000,51,2009,"3"
"369","Julian Edelman",5156,"WR",14,"NE",14,7,50,86,0,56,48.1,27.1,71.1,NA,12.3,96,13.7,40,3,4,1,0,2,39.6,0,0,"2010",2010,"Patriots",407175,395000,97,2009,"2"
"370","Julian Edelman",5156,"WR",16,"NE",146,105,71.9,1056,6,79.3,79.1,51.5,52.1,68.9,10.1,470,4.5,44,53,13,1,0,8,103,4,1,"2013",2013,"Patriots",765000,1015000,390,2009,"5"
"371","Julian Edelman",5156,"WR",16,"NE",146,98,67.1,1106,3,76.9,77.9,44.6,29.2,60.5,11.3,486,5,77,55,12,0,1,14,96.4,4,1,"2016",2016,"Patriots",4421875,3500000,258,2009,"8"
"372","Justin Gage",1452,"WR",11,"TEN",40,20,50,266,1,60.8,57.3,28.4,74.4,NA,13.3,60,3,30,14,6,3,0,0,48.5,1,0,"2010",NA,NA,NA,NA,143,2003,"8"
"373","Kelley Washington",1380,"WR",6,"SD",14,13,92.9,173,1,75.8,74.1,80,72.3,NA,13.3,97,7.5,36,10,0,0,0,2,142,0,0,"2010",NA,NA,NA,NA,25,2003,"8"
"374","Kenny Britt",4953,"WR",16,"SL",81,48,59.3,748,3,74.6,74.8,71.1,79.5,NA,15.6,167,3.5,63,33,3,5,0,2,76.6,5,1,"2014",2014,"Rams",1400000,2200000,282,2009,"6"
"375","Kenny Britt",4953,"WR",12,"NE",40,20,50,256,2,56.2,56.3,29.9,74.9,NA,12.8,86,4.3,38,9,5,3,0,5,55.8,2,0,"2017",2017,"Patriots",158824,158824,116,2009,"9"
"376","Kenny Britt",4953,"WR",12,"TEN",33,11,33.3,96,0,44.1,44.4,25.4,71.5,NA,8.7,6,0.5,15,5,7,1,0,3,29.7,5,0,"2013",2013,"Titans",1881252,897500,84,2009,"5"
"377","Kenny Britt",4953,"WR",12,"TEN",66,42,63.6,775,9,86,86.5,56.8,32.4,68.1,18.5,119,2.8,80,33,4,3,1,4,124.7,4,0,"2010",2010,"Titans",2818252,4769500,185,2009,"2"
"378","Kenny Britt",4953,"WR",3,"TEN",25,17,68,289,3,89.5,88.1,82.2,23.2,NA,17,137,8.1,80,14,0,1,1,5,129.8,0,0,"2011",2011,"Titans",1558752,575000,46,2009,"3"
"379","Kenny Britt",4953,"WR",15,"LA",109,68,62.4,1002,5,74,74.8,74,26.8,NA,14.7,297,4.4,66,46,4,3,2,6,96.2,6,0,"2016",2016,"Rams",4850000,5850000,261,2009,"8"
"380","Kenny Britt",4953,"WR",14,"TEN",85,45,52.9,589,4,62.5,63.2,42.4,23.9,65.6,13.1,151,3.4,46,25,7,2,2,6,81,4,0,"2012",2012,"Titans",1738752,755000,186,2009,"4"
"381","Kenny Britt",4953,"WR",16,"SL",70,36,51.4,681,3,72.6,73.3,47.3,77.6,NA,18.9,116,3.2,60,29,5,4,0,7,76,3,1,"2015",2015,"Rams",4300000,4300000,263,2009,"7"
"382","Kevin Curtis",1389,"WR",2,"MIA",2,1,50,6,0,51.8,50.2,64.7,64.6,NA,6,0,0,6,0,0,0,0,0,56.3,0,0,"2010",NA,NA,NA,NA,10,2003,"8"
"383","Kevin Walter",1549,"WR",16,"HST",64,41,64.1,518,2,66.1,64,74.8,78.3,68.1,12.6,103,2.5,52,27,3,2,0,1,86.6,3,0,"2012",NA,NA,NA,NA,340,2003,"10"
"384","Kevin Walter",1549,"WR",16,"HST",71,51,71.8,621,5,67.8,64.9,86.9,79.5,70.7,12.2,147,2.9,35,33,1,2,0,0,110.1,1,0,"2010",NA,NA,NA,NA,310,2003,"8"
"385","Kevin Walter",1549,"WR",15,"HST",56,39,69.6,474,3,70.3,68.6,65.8,78,51.9,12.2,140,3.6,41,26,3,1,0,1,105.8,3,0,"2011",NA,NA,NA,NA,330,2003,"9"
"386","Kyle Williams",5729,"WR",13,"SF",26,20,76.9,241,3,75.2,73.4,70.5,75.1,68.1,12.1,102,5.1,56,14,1,0,0,2,143.3,1,0,"2011",2011,"49ers",469837,450000,113,2010,"2"
"387","Kyle Williams",3079,"DI",16,"BUF",1,1,100,9,0,62.1,65.4,64.7,61.2,NA,9,10,10,9,0,0,0,0,0,104.2,2,0,"2018",NA,NA,NA,NA,1,2010,"9"
"388","Kyle Williams",5729,"WR",2,"SF",1,1,100,8,0,55.6,56.3,64.7,61.2,NA,8,3,3,8,0,0,0,0,0,100,0,0,"2010",2010,"49ers",339837,399350,NA,2010,"1"
"389","Kyle Williams",5729,"WR",13,"SF",26,20,76.9,241,3,75.2,73.4,70.5,75.1,68.1,12.1,102,5.1,56,14,1,0,0,2,143.3,1,0,"2011",2011,"49ers",469837,450000,113,2010,"2"
"390","Kyle Williams",5729,"WR",9,"KC",27,12,44.4,113,0,52.9,51.3,61.8,29.9,NA,9.4,57,4.8,16,5,1,2,0,3,25.7,0,0,"2013",2013,"Chiefs",259412,259412,119,2010,"4"
"391","Kyle Williams",5729,"WR",11,"SF",21,14,66.7,212,1,60.3,60.9,64.7,23.8,NA,15.1,76,5.4,57,10,1,1,1,1,95.7,1,0,"2012",2012,"49ers",559838,540000,88,2010,"3"
"392","Kyle Williams",5729,"WR",11,"SF",21,14,66.7,212,1,60.3,60.9,64.7,23.8,NA,15.1,76,5.4,57,10,1,1,1,1,95.7,1,0,"2012",2012,"49ers",559838,540000,88,2010,"3"
"393","Kyle Williams",5729,"WR",2,"SF",1,1,100,8,0,55.6,56.3,64.7,61.2,NA,8,3,3,8,0,0,0,0,0,100,0,0,"2010",2010,"49ers",339837,399350,NA,2010,"1"
"394","Larry Fitzgerald",1724,"WR",16,"ARZ",169,91,53.8,1137,6,78.4,77.5,82.3,82.8,NA,12.5,214,2.4,41,59,3,8,0,4,67.1,3,1,"2010",2010,"Cardinals",10400000,6150000,298,2004,"7"
"395","Larry Fitzgerald",1724,"WR",16,"ARZ",148,71,48,798,4,69.4,68.5,69.5,81.4,70.7,11.2,277,3.9,37,45,5,12,0,9,39.8,3,0,"2012",2012,"Cardinals",14500000,20250000,326,2004,"9"
"396","Larry Fitzgerald",1724,"WR",14,"ARZ",100,63,63,784,2,76.1,74,90.2,48.4,68.7,12.4,333,5.3,80,39,1,0,1,11,93.9,2,1,"2014",2014,"Cardinals",8600000,1.3e+07,309,2004,"11"
"397","Larry Fitzgerald",1724,"WR",16,"ARZ",153,109,71.2,1156,6,80,78.8,90.4,60.3,74.5,10.6,418,3.8,37,66,4,1,1,9,103.3,2,1,"2017",2017,"Cardinals",15850000,1.1e+07,372,2004,"14"
"398","Larry Fitzgerald",1724,"WR",16,"ARZ",129,82,63.6,954,10,80.3,77.1,90.7,53.6,NA,11.6,348,4.2,75,50,1,7,1,7,89.1,1,0,"2013",2013,"Cardinals",10250000,5250000,365,2004,"10"
"399","Larry Fitzgerald",1724,"WR",16,"ARZ",104,75,72.1,804,4,70.3,71.6,90.5,82,64.4,10.7,362,4.8,54,40,0,4,1,6,91.2,2,0,"2019",2019,"Cardinals",11250000,1.1e+07,273,2004,"16"
"400","Larry Fitzgerald",1724,"WR",16,"ARZ",107,69,64.5,734,6,73.2,72.3,81,81.4,NA,10.6,212,3.1,37,39,3,3,0,11,91.4,2,0,"2018",2018,"Cardinals",16850000,1.2e+07,312,2004,"15"
"401","Larry Fitzgerald",1724,"WR",16,"ARZ",139,109,78.4,1215,9,90,87.6,90.3,38,72.6,11.1,469,4.3,44,67,3,2,3,6,118.7,1,0,"2015",2015,"Cardinals",10850000,1.1e+07,382,2004,"12"
"402","Larry Fitzgerald",1724,"WR",16,"ARZ",151,80,53,1411,8,89.8,89.1,84.9,82.2,NA,17.6,505,6.3,73,62,3,9,0,14,78,3,0,"2011",2011,"Cardinals",19250000,2e+07,353,2004,"8"
"403","Larry Fitzgerald",1724,"WR",16,"ARZ",147,107,72.8,1023,6,83.3,80.2,88.5,43.3,75.1,9.6,364,3.4,32,59,4,3,2,13,96.8,1,0,"2016",2016,"Cardinals",15850000,1.1e+07,358,2004,"13"
"404","Laurent Robinson",3691,"WR",14,"DAL",81,54,66.7,858,11,75.7,74.6,53.5,79.7,68.1,15.9,268,5,74,36,7,2,0,1,131.1,1,0,"2011",NA,NA,NA,NA,168,2007,"5"
"405","Laurent Robinson",3691,"WR",7,"JAX",40,24,60,252,0,57.6,56.6,42.9,25.9,NA,10.5,58,2.4,32,8,4,0,1,3,78.3,0,0,"2012",NA,NA,NA,NA,66,2007,"6"
"406","Laurent Robinson",3691,"WR",14,"SL",69,34,49.3,353,2,58,56.8,61.9,77.8,NA,10.4,107,3.1,32,20,3,3,0,3,56,2,0,"2010",NA,NA,NA,NA,262,2007,"4"
"407","Lavelle Hawkins",4440,"WR",3,"TEN",5,5,100,61,0,75.7,74.5,73.4,68,NA,12.2,4,0.8,24,3,0,0,0,0,117.5,0,0,"2010",NA,NA,NA,NA,9,2008,"3"
"408","Lavelle Hawkins",4440,"WR",6,"TEN",11,5,45.5,62,0,58.9,58.6,73.4,68,NA,12.4,10,2,42,2,0,0,0,0,63.4,0,0,"2012",NA,NA,NA,NA,11,2008,"5"
"409","Lavelle Hawkins",4440,"WR",16,"TEN",74,47,63.5,470,1,61.7,60.5,71.1,35.3,NA,10,202,4.3,32,23,3,3,1,12,69.1,1,0,"2011",NA,NA,NA,NA,80,2008,"4"
"410","Lee Evans",1734,"WR",9,"BLT",24,4,16.7,74,0,53.1,52.1,28.6,67,NA,18.5,11,2.8,32,4,2,3,0,1,0.3,0,0,"2011",NA,NA,NA,NA,101,2004,"8"
"411","Lee Evans",1734,"WR",13,"BUF",78,37,47.4,578,4,64.4,62.2,63.7,22.2,NA,15.6,123,3.3,54,27,3,2,2,1,78.9,0,0,"2010",NA,NA,NA,NA,266,2004,"7"
"412","Legedu Naanee",3788,"WR",15,"CAR",74,44,59.5,467,1,58.1,57.5,69.2,78.9,NA,10.6,176,4,28,20,3,4,0,1,59.9,6,0,"2011",NA,NA,NA,NA,244,2007,"5"
"413","Legedu Naanee",3788,"WR",10,"SD",42,23,54.8,371,1,67.6,65.8,73.7,26.8,NA,16.1,110,4.8,59,21,1,2,1,2,72.6,2,0,"2010",NA,NA,NA,NA,194,2007,"4"
"414","Legedu Naanee",3788,"WR",4,"MIA",5,1,20,19,0,44.8,43.9,64.7,18.4,NA,19,1,1,19,0,0,2,1,0,3.3,0,0,"2012",NA,NA,NA,NA,48,2007,"6"
"415","Manuel Johnson",5153,"WR",2,"DAL",5,1,20,6,0,54.8,50.2,28.8,61.2,NA,6,1,1,6,0,1,0,0,0,39.6,0,0,"2010",NA,NA,NA,NA,5,2009,"2"
"416","Marc Mariani",5745,"WR",15,"CHI",31,22,71,300,0,67.5,65.4,85.3,57.8,65.9,13.6,138,6.3,26,19,0,1,0,3,88.1,1,0,"2015",2015,"Bears",660000,660000,186,2010,"6"
"417","Marc Mariani",5745,"WR",4,"TEN",1,0,0,0,0,45,42.2,27.9,NA,NA,NA,0,NA,0,0,1,0,0,0,39.6,0,0,"2010",2010,"Titans",334850,379400,5,2010,"1"
"418","Marc Mariani",5745,"WR",15,"TEN",12,5,41.7,24,0,50.3,47.9,45.8,69.1,NA,4.8,20,4,6,0,1,0,0,1,49.3,0,0,"2011",2011,"Titans",464850,450000,84,2010,"2"
"419","Mardy Gilyard",5623,"WR",3,"NYJ",5,2,40,15,0,55.9,53.7,68.3,64,NA,7.5,11,5.5,11,0,1,0,0,0,47.9,0,0,"2012",NA,NA,NA,NA,15,2010,"3"
"420","Mardy Gilyard",5623,"WR",9,"SL",15,6,40,63,0,59.5,59.4,74.6,68.8,NA,10.5,14,2.3,21,4,0,1,0,0,25.1,0,0,"2010",NA,NA,NA,NA,65,2010,"1"
"421","Mario Manningham",4409,"WR",12,"NYG",73,39,53.4,523,4,64,63.9,41.6,77.9,62.3,13.4,110,2.8,47,25,6,5,0,1,66.2,2,0,"2011",NA,NA,NA,NA,179,2008,"4"
"422","Mario Manningham",4409,"WR",6,"SF",20,9,45,85,0,61.3,59.9,41.1,71.1,NA,9.4,14,1.6,14,5,2,2,0,1,17.7,0,0,"2013",2013,"49ers",2800000,1800000,40,2008,"6"
"423","Mario Manningham",4409,"WR",12,"SF",55,42,76.4,449,1,78.3,75,83,25.4,NA,10.7,188,4.5,40,21,1,1,2,9,98.2,0,0,"2012",2012,"49ers",2550000,3550000,99,2008,"5"
"424","Mario Manningham",4409,"WR",16,"NYG",86,60,69.8,944,9,73.4,74.3,77,44,NA,15.7,342,5.7,92,32,3,5,1,10,116.6,4,0,"2010",NA,NA,NA,NA,239,2008,"3"
"425","Mark Clayton",2239,"WR",5,"SL",38,23,60.5,306,2,68.8,70.4,30.4,75.4,27.4,13.3,97,4.2,39,15,5,2,0,0,81.7,1,0,"2010",NA,NA,NA,NA,93,2005,"6"
"426","Mark Clayton",2239,"WR",2,"SL",4,3,75,26,0,57.1,57.5,36.2,65.8,NA,8.7,4,1.3,12,1,1,0,0,1,91.7,0,0,"2011",NA,NA,NA,NA,4,2005,"7"
"427","Marques Colston",3197,"WR",14,"NO",105,80,76.2,1143,8,87.3,86.2,89.5,51.9,65.7,14.3,265,3.3,50,56,2,1,1,2,132.4,2,0,"2011",2011,"Saints",4606250,3375000,162,2006,"6"
"428","Marques Colston",3197,"WR",15,"NO",107,75,70.1,943,5,83.3,82.3,83.7,81.9,NA,12.6,240,3.2,35,54,3,1,0,4,108.9,0,0,"2013",2013,"Saints",4500000,4600000,188,2006,"8"
"429","Marques Colston",3197,"WR",13,"NO",65,45,69.2,520,4,62.8,62.8,49.1,79,73.5,11.6,196,4.4,53,26,5,3,0,4,94.4,1,0,"2015",2015,"Saints",6500000,3800000,150,2006,"10"
"430","Marques Colston",3197,"WR",15,"NO",126,84,66.7,1023,7,75.2,74.3,49.3,82.5,66.8,12.2,296,3.5,43,57,9,3,0,7,100.1,1,1,"2010",2010,"Saints",4381250,3050000,227,2006,"5"
"431","Marques Colston",3197,"WR",16,"NO",96,59,61.5,902,5,65.3,64.3,32.6,41.8,68.9,15.3,298,5.1,57,47,8,4,1,5,92.4,1,0,"2014",2014,"Saints",8300000,5600000,267,2006,"9"
"432","Marques Colston",3197,"WR",16,"NO",126,83,65.9,1154,10,76,75.7,53.2,24.3,NA,13.9,307,3.7,60,66,8,6,3,5,101.8,2,0,"2012",2012,"Saints",3300000,11300000,182,2006,"7"
"433","Matthew Slater",4467,"WR",2,"NE",1,0,0,0,0,58.7,56.9,NA,NA,NA,NA,0,NA,0,0,0,0,0,0,39.6,0,0,"2015",NA,NA,NA,NA,16,2008,"8"
"434","Matthew Slater",4467,"WR",5,"NE",1,0,0,0,0,58.2,56.3,NA,NA,NA,NA,0,NA,0,0,0,0,0,0,39.6,0,0,"2010",NA,NA,NA,NA,35,2008,"3"
"435","Matthew Slater",4467,"WR",3,"NE",1,0,0,0,0,59.8,55.1,NA,8.4,NA,NA,0,NA,0,0,0,0,0,0,39.6,0,0,"2016",NA,NA,NA,NA,46,2008,"9"
"436","Matthew Slater",4467,"WR",9,"NE",3,1,33.3,46,0,58.6,58.3,28.8,61.2,NA,46,4,4,46,1,1,0,0,0,81.9,0,0,"2011",NA,NA,NA,NA,19,2008,"4"
"437","Maurice Stovall",3035,"WR",7,"TB",9,7,77.8,81,1,77.2,71,75.6,69.5,65.7,11.6,57,8.1,38,4,0,0,0,2,141.2,0,0,"2010",NA,NA,NA,NA,46,2006,"5"
"438","Maurice Stovall",3035,"WR",10,"DET",3,1,33.3,8,0,52,55.7,28.8,61.2,NA,8,12,12,8,1,1,0,0,0,42.4,2,0,"2011",NA,NA,NA,NA,38,2006,"6"
"439","Michael Clayton",1736,"WR",6,"NYG",4,2,50,19,0,61.3,58.2,68.3,64,NA,9.5,3,1.5,14,1,0,0,0,0,63.5,0,0,"2010",NA,NA,NA,NA,19,2004,"7"
"440","Michael Clayton",1736,"WR",2,"NYG",1,0,0,0,0,43.9,58.6,NA,NA,NA,NA,0,NA,0,0,0,0,0,0,39.6,1,0,"2011",NA,NA,NA,NA,11,2004,"8"
"441","Michael Crabtree",4933,"WR",16,"OAK",142,89,62.7,1003,8,79.2,79.3,39.9,55.5,NA,11.3,273,3.1,56,55,13,2,2,14,96.7,8,0,"2016",2016,"Raiders",1.1e+07,1.1e+07,246,2009,"8"
"442","Michael Crabtree",4933,"WR",16,"SF",102,68,66.7,698,4,66.1,65.6,37.1,81.2,NA,10.3,266,3.9,51,35,10,2,0,10,91.1,4,3,"2014",2014,"49ers",4770443,4e+06,216,2009,"6"
"443","Michael Crabtree",4933,"WR",16,"OAK",143,85,59.4,922,9,77.2,75.9,59.7,53.1,NA,10.8,281,3.3,38,45,8,2,1,17,93.6,3,0,"2015",2015,"Raiders",3200000,4100000,211,2009,"7"
"444","Michael Crabtree",4933,"WR",16,"SF",118,85,72,1105,9,91,90.8,66,82.7,NA,13,543,6.4,49,57,7,2,0,13,119.5,2,1,"2012",2012,"49ers",4770439,4e+06,225,2009,"4"
"445","Michael Crabtree",4933,"WR",16,"SF",92,55,59.8,741,6,66.2,66.3,42.5,79.9,NA,13.5,297,5.4,60,40,8,7,0,7,75.5,3,0,"2010",2010,"49ers",9713240,12795000,306,2009,"2"
"446","Michael Crabtree",4933,"WR",16,"BLT",98,54,55.1,607,3,62.9,62,29.3,79.8,NA,11.2,136,2.5,27,35,11,2,0,7,75.5,4,0,"2018",2018,"Ravens",3333333,8e+06,265,2009,"10"
"447","Michael Crabtree",4933,"WR",5,"SF",30,19,63.3,284,1,69.2,70.8,57.1,74.1,NA,14.9,140,7.4,60,13,1,1,0,4,91.5,3,0,"2013",2013,"49ers",5770439,5e+06,82,2009,"5"
"448","Michael Crabtree",4933,"WR",2,"ARZ",5,4,80,22,0,56.7,54.1,72.1,67,NA,5.5,6,1.5,9,0,0,0,0,0,85,0,0,"2019",NA,NA,NA,NA,5,2009,"11"
"449","Michael Crabtree",4933,"WR",15,"SF",106,71,67,860,3,79.4,77.7,53.9,81.7,NA,12.1,379,5.3,52,39,8,2,0,14,93.3,2,0,"2011",2011,"49ers",5145439,4375000,231,2009,"3"
"450","Michael Crabtree",4933,"WR",14,"OAK",99,58,58.6,618,8,72,71.7,59.2,43.9,NA,10.7,196,3.4,41,34,6,2,1,7,95.4,7,2,"2017",2017,"Raiders",6632353,6569853,185,2009,"9"
"451","Michael Jenkins",1750,"WR",11,"MIN",54,38,70.4,466,3,66.3,65.9,64.5,29.1,65.7,12.3,110,2.9,72,23,3,2,2,0,99.8,4,0,"2011",NA,NA,NA,NA,197,2004,"8"
"452","Michael Jenkins",1750,"WR",11,"ATL",69,41,59.4,505,2,75.6,73.2,90.2,78.3,NA,12.3,88,2.1,43,29,0,2,0,3,79.7,1,0,"2010",NA,NA,NA,NA,185,2004,"7"
"453","Michael Jenkins",1750,"WR",16,"MIN",66,40,60.6,449,2,65.4,62,73.7,78,73.4,11.2,142,3.6,32,25,2,3,0,0,72.1,1,1,"2012",NA,NA,NA,NA,252,2004,"9"
"454","Michael Robinson",3045,"FB",9,"SEA",3,2,66.7,27,0,71.6,67.4,68.3,81.6,84.7,13.5,11,5.5,21,1,0,0,0,0,95.1,1,0,"2013",NA,NA,NA,NA,107,2006,"8"
"455","Michael Robinson",3045,"FB",16,"SEA",15,13,86.7,126,2,69.9,78.7,63.2,76.7,64.8,9.7,114,8.8,20,8,1,0,0,0,141.3,0,0,"2012",NA,NA,NA,NA,247,2006,"7"
"456","Michael Robinson",3045,"FB",11,"SEA",13,8,61.5,37,0,61,31.8,28.9,76.4,81.4,4.6,43,5.4,13,0,3,1,0,2,33.8,1,0,"2010",NA,NA,NA,NA,141,2006,"5"
"457","Michael Robinson",3045,"FB",13,"SEA",13,9,69.2,74,1,52.6,76.2,78,22.2,80.5,8.2,67,7.4,19,4,0,0,0,0,109.1,0,0,"2011",NA,NA,NA,NA,169,2006,"6"
"458","Mike Sims-Walker",3695,"WR",14,"JAX",73,43,58.9,567,7,73.1,72,53.4,46,NA,13.2,138,3.2,39,34,5,4,1,5,92.7,2,0,"2010",NA,NA,NA,NA,277,2007,"4"
"459","Mike Sims-Walker",3695,"WR",6,"JAX",26,12,46.2,150,0,56.4,55.6,47.7,72.3,NA,12.5,35,2.9,33,8,2,1,0,0,48.6,1,1,"2011",NA,NA,NA,NA,115,2007,"5"
"460","Mike Thomas",5030,"WR",15,"JAX",86,44,51.2,415,1,61.6,61,61.5,79.4,NA,9.4,207,4.7,47,21,5,4,1,5,49.3,4,0,"2011",2011,"Jaguars",1025000,3025000,243,2009,"3"
"461","Mike Thomas",10840,"WR",6,"LA",5,2,40,14,0,58.4,62.5,68.3,67.1,NA,7,9,4.5,9,1,0,0,0,0,47.9,0,0,"2019",2019,"Rams",749017,720000,19,2016,"4"
"462","Mike Thomas",10840,"WR",6,"LA",5,2,40,14,0,58.4,62.5,68.3,67.1,NA,7,9,4.5,9,1,0,0,0,0,47.9,0,0,"2019",2019,"Rams",749017,720000,19,2009,"11"
"463","Mike Thomas",5030,"WR",16,"JAX",99,66,66.7,816,4,73.9,72.7,73.6,82.6,NA,12.4,309,4.7,50,38,4,5,0,8,84.4,2,0,"2010",2010,"Jaguars",521862,395000,277,2009,"2"
"464","Mike Thomas",10840,"WR",14,"LA",9,3,33.3,37,0,51.6,47.2,28,75,NA,12.3,13,4.3,16,2,2,0,0,1,47,0,0,"2016",2016,"Rams",479017,566068,44,2016,"1"
"465","Mike Thomas",10840,"WR",14,"LA",9,3,33.3,37,0,51.6,47.2,28,75,NA,12.3,13,4.3,16,2,2,0,0,1,47,0,0,"2016",2016,"Rams",479017,566068,44,2009,"8"
"466","Mike Thomas",10840,"WR",6,"LA",7,5,71.4,93,0,59.9,62.1,73.4,69.5,NA,18.6,22,4.4,50,3,0,0,1,0,113.7,1,0,"2017",2017,"Rams",441958,412941,39,2016,"2"
"467","Mike Thomas",10840,"WR",6,"LA",7,5,71.4,93,0,59.9,62.1,73.4,69.5,NA,18.6,22,4.4,50,3,0,0,1,0,113.7,1,0,"2017",2017,"Rams",441958,412941,39,2009,"9"
"468","Mike Thomas",5030,"WR",16,"DET",37,18,48.6,108,1,47.4,45.6,29,76.4,61.6,6,31,1.7,12,6,5,0,0,0,64.1,0,0,"2012",2012,"Lions",767647,767647,139,2009,"4"
"469","Mike Wallace",5007,"WR",16,"MIN",68,39,57.4,473,2,59,60.9,56.7,78.3,NA,12.1,175,4.5,34,27,4,2,0,3,76.4,4,1,"2015",2015,"Vikings",9900000,9900000,254,2009,"7"
"470","Mike Wallace",5007,"WR",16,"MIA",137,73,53.3,930,5,69.9,68.6,37.9,81.9,NA,12.7,277,3.8,57,46,11,9,0,6,59.6,4,1,"2013",2013,"Dolphins",3250000,12050000,291,2009,"5"
"471","Mike Wallace",5007,"WR",16,"PIT",113,72,63.7,1193,8,80.4,79.4,75.3,82,NA,16.6,493,6.8,95,55,4,4,0,13,108,2,0,"2011",2011,"Steelers",710168,525000,328,2009,"3"
"472","Mike Wallace",5007,"WR",16,"BLT",109,72,66.1,1017,4,70.2,70.9,64.9,82.2,NA,14.1,416,5.8,95,42,7,3,1,8,96.8,4,1,"2016",2016,"Ravens",3500000,5750000,246,2009,"8"
"473","Mike Wallace",5007,"WR",16,"PIT",93,60,64.5,1257,10,79.4,79.3,58.2,81.2,NA,21,375,6.3,56,48,7,2,1,7,134.8,0,0,"2010",2010,"Steelers",580166,395000,407,2009,"2"
"474","Mike Wallace",5007,"WR",15,"PIT",116,64,55.2,838,8,67.1,67.6,54.7,27.3,NA,13.1,284,4.4,82,33,6,5,2,2,83.2,4,1,"2012",2012,"Steelers",2742000,2742000,257,2009,"4"
"475","Mike Wallace",5007,"WR",15,"BLT",87,52,59.8,748,4,69,69,72.5,79.6,NA,14.4,155,3,66,33,3,2,0,5,93.5,1,0,"2017",2017,"Ravens",8e+06,5750000,240,2009,"9"
"476","Mike Wallace",5007,"WR",16,"MIA",108,67,62,862,10,72.5,74,67.5,27.4,NA,12.9,246,3.7,50,47,4,1,1,9,114,2,0,"2014",2014,"Dolphins",17250000,15050000,281,2009,"6"
"477","Mike Wallace",5007,"WR",2,"PHI",3,0,0,0,0,53.9,53.5,64.7,61.2,NA,NA,0,NA,0,0,0,0,0,0,39.6,0,0,"2018",2018,"Eagles",4e+06,1915000,29,2009,"10"
"478","Mike Williams",5625,"WR",8,"BUF",17,8,47.1,142,1,55.2,53.8,36,70.1,NA,17.8,36,4.5,80,3,2,0,0,1,95.7,1,0,"2014",NA,NA,NA,NA,60,2005,"10"
"479","Mike Williams",5625,"WR",8,"BUF",17,8,47.1,142,1,55.2,53.8,36,70.1,NA,17.8,36,4.5,80,3,2,0,0,1,95.7,1,0,"2014",NA,NA,NA,NA,60,2010,"5"
