player,player_id,position,player_game_count,team_name,snap_counts_total,snap_counts_pass_rush,snap_counts_run_defense,snap_counts_coverage,grades_defense,grades_run_defense,grades_tackle,grades_pass_rush_defense,grades_coverage_defense,total_pressures,sacks,hits,hurries,batted_passes,tackles,assists,missed_tackles,stops,forced_fumbles,targets,receptions,yards,yards_per_reception,yards_after_catch,longest,touchdowns,interceptions,pass_break_ups,qb_rating_against,penalties,declined_penalties
Daniel Te'o-Nesheim,5610,ED,15,TB,728,432,274,22,63.6,60.2,60.2,62.5,61.4,26,4,4,18,0,21,7,2,21,0,1,1,30,30.0,34,30,0,0,0,118.8,1,1
NaVorro Bowman,5615,LB,16,SF,1004,64,379,561,84.3,89.7,86.4,63.0,76.2,8,2,2,4,0,110,28,9,61,1,64,39,310,7.9,183,22,1,1,5,71.7,3,1
Everson Griffen,5624,ED,16,MIN,607,425,148,34,70.8,67.2,62.8,73.1,69.0,43,8,12,23,1,15,4,1,20,0,9,7,61,8.7,46,16,0,1,0,55.3,5,1
Darryl Sharpton,5626,LB,7,HST,280,38,123,119,43.6,49.0,87.6,70.3,38.8,7,0,4,3,0,19,7,0,12,0,15,11,133,12.1,68,26,1,1,1,94.6,1,1
Perry Riley,5627,LB,16,WAS,1057,134,341,582,66.3,62.4,74.7,67.5,65.7,19,4,4,11,1,82,17,8,43,1,80,57,509,8.9,298,36,6,0,2,113.0,2,0
Alterraun Verner,5628,CB,16,TEN,1045,0,445,600,76.4,76.5,56.1,,73.8,0,0,0,0,0,73,6,11,25,1,84,53,556,10.5,291,45,2,2,7,80.3,1,0
Corey Wootton,5633,ED,16,CHI,573,347,222,4,67.2,61.2,39.4,72.1,53.1,31,8,5,18,2,16,1,4,18,2,0,0,0,,0,,0,0,0,0.0,3,1
Walter Thurmond,5635,CB,2,SEA,73,5,20,48,80.7,66.9,61.7,45.7,84.5,0,0,0,0,0,4,1,1,3,0,9,5,20,4.0,13,12,0,0,2,60.9,0,0
Joe McKnight,5636,HB,1,NYJ,2,2,0,0,57.8,,,52.9,,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0.0,0,0
Geno Atkins,5643,DI,16,CIN,786,515,269,2,93.9,90.3,74.9,92.8,72.0,78,16,13,49,2,36,7,3,46,4,0,0,0,,0,,0,0,0,0.0,1,0
Al Woods,5646,DI,9,PIT,30,21,9,0,65.5,61.3,70.2,55.6,60.9,1,0,0,1,0,3,0,0,2,0,0,0,0,,0,,0,0,0,0.0,0,0
O'Brien Schofield,5653,ED,9,ARZ,490,208,204,78,63.6,61.8,57.1,57.6,66.6,19,4,7,8,0,24,4,5,20,0,7,1,5,5.0,4,5,0,0,0,39.6,0,0
Roddrick Muckelroy,5654,LB,1,WAS,3,0,2,1,65.5,60.4,,,60.0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0.0,0,0
Kam Chancellor,5656,S,16,SEA,977,11,340,626,72.4,75.6,79.8,41.9,73.2,1,0,0,1,0,69,17,9,26,1,49,32,308,9.6,120,35,0,0,3,82.7,3,0
Ricky Sapp,5657,ED,4,NYJ,44,30,10,4,49.5,57.1,68.1,56.1,50.0,2,0,0,2,0,1,0,0,0,0,1,0,0,,0,,0,0,0,39.6,0,0
Dominique Franks,5658,CB,8,ATL,203,6,50,147,71.6,62.5,64.3,76.9,69.4,2,0,1,1,0,14,0,2,3,0,14,11,84,7.6,43,16,0,0,3,91.7,2,0
Kendrick Lewis,5659,S,9,KC,553,2,271,280,44.6,53.0,27.9,53.5,43.6,0,0,0,0,0,25,1,10,1,0,11,6,110,18.3,30,31,1,0,0,119.5,0,0
Perrish Cox,5660,CB,16,SF,160,22,18,120,47.5,63.8,50.6,40.0,50.6,1,0,1,0,0,12,0,3,7,0,18,15,159,10.6,108,36,0,0,1,103.5,1,0
Cameron Sheffield,5665,ED,1,KC,1,1,0,0,60.0,,,66.2,,1,0,0,1,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0.0,0,0
