player,player_id,position,player_game_count,team_name,snap_counts_total,snap_counts_pass_rush,snap_counts_run_defense,snap_counts_coverage,grades_defense,grades_run_defense,grades_tackle,grades_pass_rush_defense,grades_coverage_defense,total_pressures,sacks,hits,hurries,batted_passes,tackles,assists,missed_tackles,stops,forced_fumbles,targets,receptions,yards,yards_per_reception,yards_after_catch,longest,touchdowns,interceptions,pass_break_ups,qb_rating_against,penalties,declined_penalties
Charles Woodson,330,S,16,OAK,1076,23,433,620,73.2,73.2,62.3,70.6,71.3,6,2,1,3,0,83,10,16,22,2,38,30,339,11.3,144,51,3,1,3,119.2,0,0
London Fletcher,424,LB,16,WAS,917,55,408,454,45.3,29.4,54.3,58.2,63.4,7,2,2,3,0,66,26,14,29,1,42,31,306,9.9,230,24,2,0,2,109.8,3,0
Champ Bailey,442,CB,5,DEN,191,6,57,128,58.9,34.6,39.7,46.6,63.8,0,0,0,0,0,13,1,3,3,0,25,16,170,10.6,75,23,1,0,3,97.1,0,0
John Abraham,591,ED,16,ARZ,867,493,298,76,77.3,61.4,76.6,76.5,80.7,67,12,8,47,1,25,2,4,31,4,4,2,19,9.5,9,15,0,0,1,63.5,3,0
Paris Lenon,751,LB,12,DEN,237,10,123,104,33.4,55.4,55.2,74.7,28.5,3,0,0,3,1,17,3,4,9,0,10,7,88,12.6,61,27,0,0,1,97.1,1,0
Justin Smith,776,DI,16,SF,786,487,296,3,62.0,57.1,72.9,63.3,69.4,56,7,10,39,0,29,9,3,30,1,0,0,0,,0,,0,0,0,0.0,2,0
Andre Carter,779,ED,9,NE,157,129,23,5,56.3,67.9,72.0,52.5,59.4,13,2,6,5,0,2,1,0,4,0,1,1,2,2.0,1,2,0,0,0,79.2,0,0
Ryan Pickett,799,DI,16,GB,492,204,284,4,60.9,65.3,77.6,49.4,60.3,5,0,0,5,2,20,3,0,16,0,0,0,0,,0,,0,0,0,0.0,0,0
Shaun Rogers,828,DI,7,NYG,224,122,102,0,63.0,65.6,72.5,62.6,60.0,11,0,6,5,0,7,1,1,6,0,0,0,0,,0,,0,0,0,0.0,2,1
Julius Peppers,1010,ED,16,CHI,852,457,373,22,65.6,58.9,55.4,67.2,65.3,39,7,6,26,3,30,5,5,26,2,1,0,0,,0,,0,1,0,0.0,3,0
Quentin Jammer,1013,CB,10,DEN,220,1,66,153,74.3,81.7,69.9,59.0,73.3,0,0,0,0,0,13,0,0,6,0,21,13,154,11.8,22,41,3,0,3,123.8,3,0
Dwight Freeney,1019,ED,4,SD,168,114,45,9,67.2,46.8,70.6,77.0,48.8,19,1,3,15,0,1,0,0,1,0,1,1,13,13.0,11,13,0,0,0,118.8,0,0
Edward Reed,1031,S,14,NYJ,633,14,241,378,48.2,69.9,69.1,40.3,44.9,0,0,0,0,0,29,11,6,2,0,7,6,136,22.7,63,64,1,3,1,118.8,2,1
Will Witherspoon,1079,LB,7,SL,136,7,69,60,63.8,62.5,87.7,63.0,62.4,1,0,0,1,0,11,3,0,8,0,11,10,81,8.1,36,24,1,1,0,89.8,0,0
Larry Foote,1126,LB,1,PIT,58,10,35,13,44.8,41.9,32.6,54.6,65.2,1,0,0,1,0,4,1,2,2,0,0,0,0,,0,,0,0,0,0.0,0,0
Justin Bannan,1134,DI,3,DET,29,12,17,0,62.0,52.3,66.8,76.3,,3,0,0,3,0,1,0,1,0,0,0,0,0,,0,,0,0,0,0.0,0,0
Brett Keisel,1204,DI,12,PIT,567,308,255,4,56.8,51.7,69.4,61.4,57.9,27,4,4,19,1,21,11,3,18,1,0,0,0,,0,,0,0,0,0.0,0,0
Ryan Clark,1229,S,16,PIT,1071,14,427,630,67.2,66.4,72.1,50.2,67.9,4,0,0,4,0,75,16,13,17,0,24,15,244,16.3,132,61,3,2,1,101.4,2,0
James Harrison,1251,LB,15,CIN,378,146,146,86,81.5,89.8,63.9,58.0,79.0,19,2,3,14,0,22,2,3,15,0,10,9,75,8.3,58,22,0,1,0,58.3,1,0
Terence Newman,1321,CB,13,CIN,823,0,288,535,72.5,68.2,52.8,,71.6,0,0,0,0,0,49,1,8,14,0,80,48,612,12.8,208,43,3,2,6,86.0,5,1
Kevin Williams,1325,DI,15,MIN,723,480,237,6,66.5,69.5,48.4,61.8,57.1,26,4,8,14,4,16,4,4,16,0,1,1,7,7.0,5,7,0,1,0,56.3,2,1
Terrell Suggs,1326,ED,16,BLT,907,501,350,56,73.7,75.7,79.4,66.5,63.1,61,10,14,37,0,51,10,4,50,0,2,2,24,12.0,16,19,0,0,0,116.7,4,1
Troy Polamalu,1332,S,16,PIT,1080,51,430,599,83.8,65.9,70.6,67.9,90.1,5,2,0,3,1,60,12,10,29,6,48,25,290,11.6,155,57,1,2,6,60.2,5,0
Calvin Pace,1334,ED,16,NYJ,874,295,340,239,73.2,71.9,56.6,61.2,78.6,35,11,3,21,1,29,9,7,29,2,17,15,78,5.2,78,26,0,0,2,85.8,2,0
Nick Barnett,1345,LB,9,WAS,70,6,29,35,54.4,73.8,46.3,63.8,41.1,1,0,0,1,0,6,2,2,3,0,3,3,18,6.0,3,8,0,0,0,91.7,0,0
Nnamdi Asomugha,1347,CB,3,SF,138,1,51,86,49.6,37.7,25.0,59.4,52.7,0,0,0,0,0,3,0,4,0,0,11,4,63,15.8,9,31,1,0,1,86.6,1,0
Charles Tillman,1351,CB,8,CHI,432,1,191,240,57.6,88.8,64.2,60.0,53.2,0,0,0,0,0,37,4,6,11,3,45,26,389,15.0,152,45,7,3,2,98.1,5,0
Rashean Mathis,1355,CB,15,DET,777,0,291,486,72.8,64.1,53.2,,72.7,0,0,0,0,0,42,4,6,11,0,76,37,513,13.9,122,47,3,0,10,83.9,4,1
Drayton Florence,1362,CB,14,CAR,589,2,139,448,77.0,62.7,65.6,58.8,77.3,0,0,0,0,0,22,3,2,7,0,57,31,413,13.3,165,60,1,2,5,68.8,5,0
