player,player_id,position,player_game_count,team_name,snap_counts_total,snap_counts_pass_rush,snap_counts_run_defense,snap_counts_coverage,grades_defense,grades_run_defense,grades_tackle,grades_pass_rush_defense,grades_coverage_defense,total_pressures,sacks,hits,hurries,batted_passes,tackles,assists,missed_tackles,stops,forced_fumbles,targets,receptions,yards,yards_per_reception,yards_after_catch,longest,touchdowns,interceptions,pass_break_ups,qb_rating_against,penalties,declined_penalties
Ray Lewis,167,LB,12,BLT,783,76,329,378,82.8,90.7,85.2,69.7,63.4,10,2,4,4,1,76,10,7,54,1,33,23,273,11.9,131,31,0,1,3,82.0,2,0
Brian Dawkins,181,S,14,DEN,773,51,305,417,69.8,86.0,76.8,75.8,58.0,13,3,1,9,2,43,5,5,21,1,23,13,202,15.5,93,50,2,0,2,114.8,1,0
James Farrior,234,LB,14,PIT,716,121,282,313,55.4,59.9,67.7,54.5,56.0,15,2,1,12,0,67,12,8,39,0,38,31,376,12.1,193,73,1,0,1,116.7,2,0
Ronde Barber,261,CB,16,TB,968,41,427,500,44.6,58.4,37.9,40.3,43.0,2,1,0,1,0,70,9,21,27,1,71,46,583,12.7,340,42,3,3,4,86.8,5,0
Jason Taylor,264,ED,16,MIA,514,345,116,53,57.2,51.5,73.5,63.2,53.0,35,7,12,16,2,11,4,1,11,1,8,4,49,12.3,27,15,0,0,0,69.3,2,0
Al Harris,282,CB,9,SL,352,2,120,230,75.1,66.3,73.7,49.0,75.5,0,0,0,0,0,15,2,1,3,0,29,17,292,17.2,133,93,1,0,4,104.4,0,0
Charles Woodson,330,CB,15,GB,987,86,346,555,69.6,72.6,44.4,48.1,72.3,10,2,0,8,2,66,6,15,29,1,79,49,566,11.6,234,62,4,7,7,63.6,9,2
Keith Brooking,336,LB,16,DAL,395,29,179,187,48.8,50.9,67.1,60.6,49.2,3,0,1,2,0,34,13,5,15,0,30,20,269,13.5,202,39,0,0,2,95.0,0,0
Takeo Spikes,337,LB,16,SD,918,51,400,467,62.6,61.9,82.5,56.8,61.9,6,1,1,4,1,80,27,7,40,0,47,36,355,9.9,229,34,4,1,2,116.9,2,0
Vonnie Holliday,340,DI,16,ARZ,152,82,70,0,73.6,68.4,76.0,60.6,67.2,7,0,3,4,1,14,1,0,11,0,0,0,0,,0,,0,0,0,0.0,0,0
London Fletcher,424,LB,16,WAS,1003,110,419,474,80.4,78.4,73.3,63.9,75.0,17,2,7,8,0,113,31,14,59,3,55,33,346,10.5,166,41,1,2,4,69.2,2,1
Champ Bailey,442,CB,13,DEN,880,8,398,474,77.4,72.9,46.5,39.2,78.3,1,0,0,1,0,37,2,8,11,0,63,34,523,15.4,256,56,2,2,10,79.0,2,1
Antoine Winfield,456,CB,5,MIN,322,9,109,204,90.1,91.9,78.1,59.0,84.3,1,1,0,0,0,36,1,2,23,1,36,27,240,8.9,163,51,0,1,0,80.8,0,0
Mike Peterson,463,LB,9,ATL,214,9,110,95,62.2,49.3,44.4,61.3,73.2,1,0,0,1,1,15,8,6,8,0,12,8,66,8.3,51,17,1,1,0,73.6,0,0
Joey Porter,484,LB,6,ARZ,331,134,136,61,50.7,62.0,72.9,50.2,50.6,4,1,1,2,0,12,3,3,5,0,6,5,76,15.2,29,40,0,0,0,118.8,2,0
Aaron Smith,500,DI,4,PIT,172,95,77,0,42.3,47.0,72.1,50.9,60.0,4,0,1,3,0,5,1,0,5,0,1,1,10,10.0,14,10,0,0,0,108.3,0,0
Kelly Gregg,527,DI,16,KC,532,204,328,0,66.0,67.7,61.8,53.2,60.0,3,1,0,2,1,25,10,4,21,0,0,0,0,,0,,0,0,0,0.0,0,0
Brendon Ayanbadejo,542,LB,16,BLT,295,82,28,185,72.0,69.7,64.8,69.5,71.0,9,2,5,2,0,19,1,2,12,0,23,15,98,6.5,77,13,0,0,1,74.2,2,0
Brian Urlacher,587,LB,16,CHI,1067,84,367,616,79.8,73.9,82.3,47.7,82.6,6,0,1,5,1,90,10,9,52,0,58,41,405,9.9,255,38,2,3,4,80.0,1,0
