player,player_id,position,player_game_count,team_name,snap_counts_total,snap_counts_pass_rush,snap_counts_run_defense,snap_counts_coverage,grades_defense,grades_run_defense,grades_tackle,grades_pass_rush_defense,grades_coverage_defense,total_pressures,sacks,hits,hurries,batted_passes,tackles,assists,missed_tackles,stops,forced_fumbles,targets,receptions,yards,yards_per_reception,yards_after_catch,longest,touchdowns,interceptions,pass_break_ups,qb_rating_against,penalties,declined_penalties
Casey Hampton,789,DI,15,PIT,407,218,189,0,55.4,53.1,77.3,60.2,60.0,7,1,1,5,0,10,3,1,7,1,0,0,0,,0,,0,0,0,0.0,2,0
Nate Clements,791,CB,16,SF,1056,26,420,610,76.0,90.1,74.9,60.7,70.5,5,1,0,4,0,70,9,6,30,3,96,62,778,12.5,359,58,4,3,7,90.5,4,1
Ryan Pickett,799,DI,14,GB,372,167,205,0,62.4,67.2,68.7,53.6,58.9,7,1,1,5,1,25,3,2,21,0,0,0,0,,0,,0,0,0,0.0,0,0
Kyle Vanden Bosch,804,ED,11,DET,652,382,263,7,60.1,62.2,32.0,66.6,50.8,31,5,10,16,0,27,6,5,23,2,1,1,11,11.0,5,11,0,0,0,112.5,5,1
Kris Jenkins,814,DI,1,NYJ,5,2,3,0,58.7,60.0,,58.3,,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0.0,0,0
Jamie Winborn,817,LB,4,TEN,99,8,58,33,42.9,42.8,27.7,53.7,53.1,0,0,0,0,0,3,2,3,0,0,3,2,63,31.5,49,54,0,0,0,109.7,0,0
Shaun Rogers,828,DI,15,CLV,395,272,123,0,57.8,56.1,47.5,74.6,36.7,30,3,12,15,0,13,1,2,14,0,0,0,0,,0,,0,0,0,0.0,6,0
Derrick Burgess,830,ED,1,PHI,6,5,1,0,53.9,60.0,,53.8,,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0.0,0,0
Adrian Wilson,831,S,16,ARZ,1129,94,522,513,61.6,69.1,75.5,59.7,59.3,14,2,2,10,0,76,7,11,42,0,46,33,441,13.4,205,63,4,2,6,112.7,7,1
Ron Edwards,838,DI,16,KC,460,221,239,0,69.0,63.5,78.9,65.9,64.0,8,2,2,4,1,14,5,0,14,0,0,0,0,,0,,0,0,0,0.0,0,0
William James,839,CB,4,SF,106,4,16,86,57.7,66.1,81.5,43.3,58.7,1,0,0,1,0,9,0,0,0,0,13,6,56,9.3,8,19,1,0,1,84.1,1,0
Renaldo Hill,919,S,16,DEN,1052,18,519,515,64.9,84.0,91.5,54.5,53.3,1,0,0,1,1,58,9,1,14,0,28,14,177,12.6,47,34,1,2,1,52.2,1,0
Demetric Evans,953,DI,15,SF,222,112,110,0,54.1,55.4,75.0,53.9,,4,0,1,3,1,11,1,0,8,0,0,0,0,,0,,0,0,0,0.0,0,0
Chris Hoke,961,DI,15,PIT,244,153,90,1,62.0,63.2,75.4,56.8,60.4,7,0,1,6,0,9,2,1,8,0,0,0,0,,0,,0,0,0,0.0,0,0
Nick Sorensen,989,S,10,CLV,14,2,3,9,59.6,60.0,,53.1,61.2,0,0,0,0,0,0,0,0,0,0,1,0,0,,0,,0,0,0,39.6,0,0
Juqua Parker,995,ED,13,PHI,464,281,167,16,76.6,73.4,28.9,76.7,54.7,34,6,4,24,2,16,1,5,18,1,2,0,0,,0,,0,0,0,39.6,3,0
Julius Peppers,1010,ED,16,CHI,913,558,333,22,85.8,82.3,52.5,76.8,66.5,60,8,12,40,6,37,3,5,38,2,5,3,19,6.3,24,8,0,2,1,28.3,5,0
Quentin Jammer,1013,CB,16,SD,968,1,392,575,64.1,68.3,50.9,56.9,62.1,0,0,0,0,0,41,5,8,13,1,78,40,524,13.1,150,44,3,2,7,74.9,5,0
Ryan Sims,1014,DI,6,TB,110,42,68,0,44.8,43.8,69.8,55.4,,1,0,0,1,0,3,0,0,2,0,0,0,0,,0,,0,0,0,0.0,0,0
Roy Williams,1016,S,12,CIN,466,17,227,222,64.3,77.4,74.4,74.9,54.9,4,1,1,2,0,39,13,6,10,0,8,7,65,9.3,24,24,0,1,0,60.9,0,0
John Henderson,1017,DI,9,OAK,264,110,153,1,90.0,90.9,76.5,66.5,59.9,6,0,2,4,3,26,4,0,24,0,0,0,0,,0,,0,0,0,0.0,1,0
Dwight Freeney,1019,ED,16,IND,797,506,291,0,81.1,45.9,78.1,87.9,68.3,74,9,10,55,1,10,6,2,16,5,1,1,-2,-2.0,1,-2,0,0,0,79.2,1,1
Albert Haynesworth,1022,DI,8,WAS,204,140,64,0,80.6,69.2,76.5,75.3,,14,2,2,10,1,10,0,0,10,0,0,0,0,,0,,0,0,0,0.0,0,0
Phillip Buchanon,1024,CB,16,WAS,720,8,239,473,63.3,67.2,52.2,53.0,61.9,1,0,0,1,0,44,4,6,12,2,77,44,521,11.8,163,50,1,2,14,71.4,3,0
Bryan Thomas,1029,ED,16,NYJ,621,212,303,106,71.8,68.5,76.0,66.4,72.5,21,8,0,13,0,25,3,1,28,1,12,9,43,4.8,46,16,0,0,1,79.5,2,1
Edward Reed,1031,S,10,BLT,655,8,215,432,78.2,69.7,73.1,72.0,80.6,1,0,0,1,0,28,3,5,2,1,28,13,216,16.6,50,46,4,8,8,72.9,2,0
Lito Sheppard,1033,CB,12,MIN,252,0,64,188,59.3,74.1,62.5,,58.5,0,0,0,0,0,17,1,2,6,0,40,25,315,12.6,106,46,5,0,6,126.6,1,0
Jon McGraw,1064,S,12,KC,426,30,126,270,54.1,47.7,44.3,48.5,60.3,2,0,1,1,0,30,5,8,14,0,25,18,185,10.3,112,28,1,2,3,72.9,1,0
Michael Lewis,1065,S,5,SL,194,3,83,108,51.6,58.6,68.1,76.0,49.9,1,1,0,0,0,10,2,2,6,0,10,8,95,11.9,50,23,0,0,0,106.3,0,0
Sheldon Brown,1066,CB,16,CLV,890,12,396,482,71.2,85.8,61.8,53.0,65.9,1,0,0,1,0,55,5,8,16,0,72,46,657,14.3,265,78,7,2,8,114.2,3,1
Ryan Denney,1068,ED,2,HST,9,6,3,0,65.8,60.8,,64.1,,1,0,0,1,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0.0,0,0
Andre' Goodman,1075,CB,8,DEN,367,3,178,186,60.0,56.1,73.0,46.1,62.7,0,0,0,0,0,17,0,1,4,0,41,19,353,18.6,162,52,1,0,6,84.7,1,1
Ben Leber,1078,LB,16,MIN,514,53,264,197,60.1,39.2,58.1,77.0,79.8,13,0,4,9,1,35,5,5,18,2,25,18,138,7.7,145,24,0,1,1,68.4,1,1
Will Witherspoon,1079,LB,16,TEN,1157,103,458,596,55.9,51.0,37.5,62.4,59.1,11,3,3,5,1,59,22,16,34,0,73,56,540,9.6,366,48,5,2,6,108.2,1,0
Akin Ayodele,1092,LB,15,BUF,480,10,312,158,68.8,58.2,86.9,49.7,79.9,0,0,0,0,0,61,17,5,30,0,23,15,122,8.1,72,22,0,0,2,78.5,0,0
Chris Hope,1097,S,16,TEN,1184,39,463,682,61.7,73.2,82.3,67.2,52.8,7,2,0,5,0,80,11,8,23,1,32,21,327,15.6,131,37,0,1,4,86.3,2,0
Coy Wire,1099,LB,6,ATL,51,4,17,30,76.0,75.0,80.1,54.3,69.5,0,0,0,0,0,3,1,0,3,0,1,0,0,,0,,0,0,0,39.6,0,0
Dante Wesley,1101,CB,1,DET,8,0,3,5,66.8,60.0,72.5,,66.5,0,0,0,0,0,1,0,0,1,0,2,1,4,4.0,0,4,0,0,0,56.3,0,0
Kevin Bentley,1102,LB,12,HST,443,29,215,199,69.9,66.4,79.4,53.6,70.5,4,0,1,3,0,34,12,3,21,0,26,22,263,12.0,182,40,2,1,1,118.4,0,0
Alex Brown,1105,ED,16,NO,651,408,241,2,62.8,65.1,78.1,56.7,67.4,32,2,5,25,2,30,1,0,24,1,2,1,0,0.0,10,0,0,0,1,56.3,3,0
Brian Williams,1106,CB,15,ATL,386,69,70,247,65.2,61.6,61.7,76.1,64.0,14,1,2,11,0,21,6,5,8,0,22,18,196,10.9,71,35,0,0,1,103.8,3,1
Larry Foote,1126,LB,14,PIT,172,36,55,81,79.1,69.7,62.3,73.5,70.3,10,2,1,7,0,15,4,2,5,0,14,10,64,6.4,41,12,0,0,1,80.7,0,0
Justin Bannan,1134,DI,16,DEN,774,381,392,1,57.0,58.1,77.7,53.7,66.9,14,1,7,6,5,21,8,0,15,1,2,2,7,3.5,14,5,0,0,0,81.3,1,0
Andra Davis,1136,LB,6,BUF,220,6,146,68,58.0,58.2,57.8,60.9,57.6,0,0,0,0,1,17,11,4,7,1,7,6,104,17.3,74,34,0,1,0,79.2,0,0
Scott Fujita,1137,ED,9,CLV,542,120,229,193,72.9,65.4,81.6,82.9,59.9,14,4,5,5,0,32,7,2,25,2,22,14,127,9.1,110,27,1,1,1,75.4,1,0
Rocky Bernard,1139,DI,14,NYG,321,173,148,0,68.1,59.2,75.9,70.7,60.0,12,2,1,9,4,16,2,0,13,0,0,0,0,,0,,0,0,0,0.0,0,0
Kenyon Coleman,1140,DI,16,CLV,557,200,356,1,64.8,67.1,74.5,56.8,63.6,12,3,1,8,0,54,9,4,45,0,2,2,5,2.5,12,9,0,0,0,79.2,2,0
Aaron Kampman,1148,ED,8,JAX,498,277,206,15,67.0,58.6,77.6,69.5,60.9,32,5,14,13,1,16,3,0,15,0,4,3,26,8.7,24,12,0,0,0,91.7,1,0
Howard Green,1173,DI,11,GB,206,102,104,0,54.0,53.7,73.9,55.7,,5,1,1,3,0,8,1,1,6,0,0,0,0,,0,,0,0,0,0.0,0,0
Stylez White,1196,ED,16,TB,714,400,273,41,67.5,55.2,59.7,72.3,60.7,42,5,13,24,0,24,6,3,23,2,5,5,23,4.6,20,16,1,0,0,125.4,1,0
Raheem Brock,1200,ED,16,SEA,561,399,143,19,70.8,48.5,72.4,76.2,66.1,54,9,10,35,3,22,2,2,24,2,1,1,-4,-4.0,1,-4,0,0,0,79.2,3,0
Brett Keisel,1204,DI,11,PIT,448,281,165,2,68.0,68.4,71.0,58.8,75.6,15,3,1,11,5,17,5,2,12,2,4,1,9,9.0,11,9,0,1,1,0.0,0,0
Ryan Clark,1229,S,16,PIT,977,12,315,650,65.8,84.1,82.8,40.1,60.2,0,0,0,0,0,63,18,6,16,0,31,18,296,16.4,98,61,0,2,6,63.4,2,0
James Harrison,1251,ED,16,PIT,1003,397,325,281,87.5,83.6,90.0,84.3,79.2,57,11,14,32,1,65,13,4,52,4,26,20,152,7.6,108,16,0,1,1,74.5,10,2
Ma'ake Kemoeatu,1267,DI,14,WAS,362,168,193,1,43.1,44.2,70.3,54.3,40.9,4,0,1,3,0,20,5,1,13,0,0,0,0,,0,,0,0,0,0.0,1,0
Brandon Moore,1283,LB,1,SD,1,0,1,0,60.1,60.0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0.0,0,0
Bart Scott,1303,LB,16,NYJ,879,171,379,329,82.4,91.1,90.3,66.5,64.8,19,1,9,9,1,59,11,2,37,1,28,20,172,8.6,111,20,1,0,1,99.1,3,0
Terence Newman,1321,CB,16,DAL,877,0,304,573,61.5,69.6,73.3,,59.9,0,0,0,0,0,74,1,4,12,0,98,64,914,14.3,283,60,5,5,3,91.1,3,1
Kevin Williams,1325,DI,16,MIN,895,541,350,4,75.6,71.2,78.4,71.8,69.3,37,2,5,30,9,34,8,5,27,1,2,2,6,3.0,10,4,0,0,2,79.2,6,0
Terrell Suggs,1326,ED,16,BLT,1027,597,369,61,73.6,73.8,67.4,70.2,64.2,69,12,19,38,1,40,10,4,43,1,12,9,71,7.9,56,25,0,0,1,89.2,6,2
Marcus Trufant,1327,CB,16,SEA,924,1,366,557,56.5,63.7,80.0,59.0,54.4,0,0,0,0,0,69,9,5,12,1,103,62,882,14.2,242,67,6,1,8,103.3,2,0
Jimmy Kennedy,1328,DI,9,MIN,147,93,54,0,60.0,57.3,72.8,59.5,60.0,4,1,1,2,0,7,1,2,5,0,0,0,0,,0,,0,0,0,0.0,0,0
Troy Polamalu,1332,S,14,PIT,847,29,270,548,78.0,84.7,67.5,83.5,71.8,6,1,0,5,0,50,7,9,20,1,40,25,236,9.4,76,24,0,7,3,39.2,2,0
Calvin Pace,1334,ED,12,NYJ,634,332,237,65,65.8,77.1,67.2,51.9,68.6,14,5,3,6,2,37,5,3,30,1,9,6,65,10.8,56,37,0,1,0,48.1,2,0
Nick Barnett,1345,LB,4,GB,252,43,78,131,55.4,74.2,80.6,55.1,46.6,5,0,1,4,0,21,3,2,13,0,19,15,100,6.7,119,15,0,0,0,88.6,0,0
Nnamdi Asomugha,1347,CB,14,OAK,767,3,323,441,74.1,45.9,48.6,50.8,78.5,0,0,0,0,0,18,1,5,5,0,29,13,185,14.2,68,34,0,0,6,66.0,6,2
Tyler Brayton,1348,ED,15,CAR,616,333,261,22,53.3,57.3,52.0,54.0,57.7,18,0,6,12,1,17,4,3,13,0,1,1,5,5.0,7,5,0,0,1,87.5,2,0
Charles Tillman,1351,CB,16,CHI,1033,4,367,662,74.1,74.4,80.6,67.0,72.6,2,0,0,2,0,73,7,5,16,2,97,63,767,12.2,307,59,3,6,5,73.7,2,0
Eugene Wilson,1352,S,14,HST,688,2,261,425,36.6,70.7,66.4,53.3,29.8,0,0,0,0,0,43,10,7,5,0,19,11,219,19.9,45,42,0,0,3,98.4,0,0
Rashean Mathis,1355,CB,16,JAX,964,6,390,568,58.3,77.0,65.5,58.0,54.3,1,0,0,1,0,47,4,5,8,0,66,39,589,15.1,175,54,5,1,6,107.4,5,0
E.J. Henderson,1356,LB,16,MIN,945,103,376,466,77.2,85.0,90.7,61.5,64.3,14,1,1,12,0,75,21,7,47,1,35,22,219,10.0,80,28,5,3,1,84.4,0,0
Ken Hamlin,1358,S,6,IND,32,3,6,23,79.6,67.2,79.1,50.0,75.2,0,0,0,0,0,1,1,0,1,0,2,0,0,,0,,0,1,0,0.0,0,0
Pisa Tinoisamoa,1359,LB,12,CHI,451,34,210,207,62.3,60.4,63.4,68.0,60.6,3,1,1,1,0,27,6,4,17,1,27,23,181,7.9,139,28,1,0,1,106.9,0,0
Drayton Florence,1362,CB,16,BUF,1063,4,532,527,55.3,43.6,53.9,68.2,60.1,1,0,0,1,0,52,1,7,14,1,77,48,559,11.6,148,29,6,3,11,94.0,10,1
Kawika Mitchell,1363,LB,1,NO,2,0,1,1,64.3,60.0,,,60.0,0,0,0,0,0,0,0,0,0,0,1,0,0,,0,,0,0,0,39.6,0,0
Chris Kelsay,1364,ED,16,BUF,1063,418,533,112,53.5,50.8,57.3,61.1,44.1,37,4,7,26,1,40,13,9,32,1,11,9,89,9.9,54,32,1,0,0,130.7,1,0
Bryan Scott,1370,S,15,BUF,309,28,63,218,58.7,51.2,37.9,77.6,56.4,6,3,1,2,1,19,5,7,15,0,29,20,185,9.3,77,37,1,0,4,97.6,1,0
Osi Umenyiora,1371,ED,16,NYG,805,529,253,23,81.8,65.7,81.0,82.1,71.2,49,12,11,26,1,23,5,2,30,9,2,1,15,15.0,12,15,0,0,0,75.0,4,0
Anthony Adams,1372,DI,16,CHI,583,314,264,5,58.6,57.2,67.9,61.0,59.2,16,2,5,9,1,25,1,1,21,3,0,0,0,,0,,0,0,0,0.0,2,0
Cory Redding,1381,ED,15,BLT,612,371,225,16,57.1,56.5,64.6,62.4,56.4,28,3,7,18,2,27,6,3,23,0,4,1,9,9.0,0,9,0,1,0,0.0,4,0
Lance Briggs,1383,LB,15,CHI,886,52,309,525,67.5,61.1,45.5,59.7,72.5,4,2,0,2,1,77,5,15,46,1,74,58,414,7.1,324,32,0,2,3,78.7,0,0
Gerald Hayes,1385,LB,6,ARZ,251,10,150,91,64.3,68.1,55.8,59.0,64.0,1,0,0,1,0,23,8,4,11,0,11,9,128,14.2,81,44,0,0,1,115.2,2,0
Wayne Hunter,1388,T,6,NYJ,13,4,9,0,64.2,63.5,,58.3,,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0.0,6,2
Sam Williams,1398,LB,2,OAK,5,0,4,1,52.4,54.8,71.7,,60.0,0,0,0,0,0,1,0,0,0,0,0,0,0,,0,,0,0,0,0.0,0,0
Chris Crocker,1399,S,9,CIN,519,18,210,291,69.3,61.3,69.9,81.5,66.8,5,2,2,1,0,30,6,5,11,2,30,16,240,15.0,103,36,1,0,5,91.0,0,0
Donald Strickland,1405,CB,11,SD,285,13,68,204,62.5,46.7,44.0,91.4,61.2,4,1,0,3,0,12,3,4,5,1,27,20,216,10.8,93,41,1,0,1,109.5,1,0
Bradie James,1416,LB,16,DAL,907,83,359,465,78.7,79.9,84.4,58.3,72.7,9,0,4,5,0,83,23,5,49,2,56,47,427,9.1,271,42,2,1,0,102.9,1,0
Jarret Johnson,1421,LB,16,BLT,1032,428,372,232,71.1,74.6,62.9,59.4,68.1,26,2,3,21,0,48,10,6,31,1,25,18,160,8.9,127,30,0,0,2,88.8,0,0
