player,player_id,position,player_game_count,team_name,snap_counts_total,snap_counts_pass_rush,snap_counts_run_defense,snap_counts_coverage,grades_defense,grades_run_defense,grades_tackle,grades_pass_rush_defense,grades_coverage_defense,total_pressures,sacks,hits,hurries,batted_passes,tackles,assists,missed_tackles,stops,forced_fumbles,targets,receptions,yards,yards_per_reception,yards_after_catch,longest,touchdowns,interceptions,pass_break_ups,qb_rating_against,penalties,declined_penalties
Ray Lewis,167,LB,16,BLT,1034,135,369,530,81.4,76.0,75.5,56.3,85.6,12,2,3,7,0,95,15,10,54,2,47,34,297,8.7,149,22,2,2,1,85.2,2,1
Lawyer Milloy,171,S,16,SEA,1037,82,407,548,59.7,72.8,70.2,55.7,54.7,10,4,1,5,0,65,13,10,28,1,31,17,224,13.2,137,36,4,0,2,117.5,2,0
Brian Dawkins,181,S,11,DEN,678,48,302,328,65.0,81.0,86.1,67.5,54.7,10,2,1,7,1,56,6,3,16,2,29,20,396,19.8,205,58,3,1,2,131.8,2,0
Phillip Daniels,191,DI,14,WAS,245,113,132,0,55.5,51.2,76.5,60.8,60.0,6,2,1,3,0,14,3,1,12,0,0,0,0,,0,,0,0,0,0.0,0,0
James Farrior,234,LB,16,PIT,902,182,295,425,85.2,75.1,72.0,76.9,78.1,26,7,1,18,3,76,18,10,54,1,34,24,196,8.2,106,16,0,0,2,84.9,1,0
Trevor Pryce,243,DI,13,NYJ,230,187,41,2,62.9,39.7,70.5,77.2,58.6,21,1,6,14,0,2,0,1,3,0,0,0,0,,0,,0,0,0,0.0,2,0
Darren Sharper,258,S,8,NO,259,13,83,163,52.3,55.5,53.7,37.1,60.4,0,0,0,0,0,13,3,4,1,1,6,3,48,16.0,16,32,0,0,1,77.1,2,1
Ronde Barber,261,CB,16,TB,987,51,418,518,75.0,82.3,53.7,85.6,69.2,13,0,4,9,1,66,12,12,28,0,71,41,450,11.0,285,36,3,3,9,73.1,4,1
Jason Taylor,264,ED,16,NYJ,591,343,159,89,64.3,70.7,59.0,61.4,60.7,23,5,3,15,4,23,2,4,23,2,3,2,38,19.0,6,24,0,0,1,109.7,2,0
Mike Vrabel,268,ED,16,KC,737,156,334,247,61.4,59.1,62.9,58.1,63.6,15,0,5,10,0,33,12,8,18,1,21,18,190,10.6,145,35,1,0,1,120.2,2,0
Al Harris,282,CB,3,MIA,70,0,9,61,48.3,53.7,37.9,,52.9,0,0,0,0,0,3,0,1,1,0,8,5,51,10.2,28,17,0,0,0,80.7,1,1
Bryan Robinson,321,DI,16,ARZ,338,151,184,3,44.2,49.5,78.4,52.9,55.0,1,0,1,0,1,15,5,0,11,0,0,0,0,,0,,0,0,0,0.0,3,1
Pat Williams,326,DI,16,MIN,541,258,282,1,63.2,67.5,76.7,52.3,60.5,4,0,1,3,0,24,5,0,18,1,2,2,8,4.0,11,4,0,0,0,83.3,1,0
Jamal Williams,328,DI,16,DEN,563,242,320,1,61.5,61.2,81.2,58.9,60.0,7,0,0,7,0,36,7,1,32,0,0,0,0,,0,,0,0,0,0.0,1,0
Charles Woodson,330,CB,16,GB,994,81,378,535,63.7,71.4,68.4,76.9,57.5,13,2,4,7,3,74,11,12,40,5,78,47,564,12.0,219,44,3,2,8,84.6,12,0
Keith Brooking,336,LB,16,DAL,891,89,348,454,63.3,63.9,80.7,60.0,63.4,10,1,3,6,0,70,10,5,31,0,46,30,312,10.4,169,26,2,1,5,90.1,2,0
Takeo Spikes,337,LB,16,SF,787,56,358,373,85.3,86.6,90.5,58.6,76.3,6,0,3,3,0,91,10,2,53,0,48,32,287,9.0,156,43,1,3,5,63.5,1,1
Vonnie Holliday,340,DI,15,WAS,410,292,118,0,69.5,56.7,78.5,66.8,78.3,25,3,3,19,2,16,4,0,15,0,1,0,0,,0,,0,0,1,39.6,0,0
Randy Moss,342,WR,1,TEN,1,0,0,1,60.0,,,,60.0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0.0,4,0
Deshea Townsend,391,CB,8,IND,140,6,19,115,63.3,64.9,72.2,45.3,63.6,0,0,0,0,0,7,1,1,1,0,11,8,80,10.0,42,34,0,0,1,93.0,0,0
Brian Finneran,423,WR,3,ATL,4,0,0,4,60.9,,,,60.6,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0.0,1,0
London Fletcher,424,LB,16,WAS,1094,75,429,590,70.4,70.3,84.3,63.0,68.1,8,4,1,3,0,93,25,8,45,3,60,32,368,11.5,212,31,2,1,8,76.3,4,0
Champ Bailey,442,CB,15,DEN,966,4,472,490,85.7,72.5,86.2,65.4,85.8,1,1,0,0,0,40,2,1,14,1,66,38,442,11.6,74,32,4,2,12,85.5,2,1
Antoine Winfield,456,CB,16,MIN,981,38,384,559,91.2,81.0,83.6,92.6,88.9,9,2,0,7,0,76,12,5,41,2,84,59,463,7.8,282,27,0,2,3,73.7,0,0
Mike Peterson,463,LB,16,ATL,477,30,246,201,59.1,58.5,67.5,60.2,59.0,2,1,0,1,1,45,13,6,36,1,29,24,223,9.3,148,25,1,2,1,81.5,1,0
Joey Porter,484,ED,14,ARZ,999,405,465,129,56.4,45.8,47.3,62.8,75.3,34,5,9,20,0,33,7,6,27,1,9,7,28,4.0,34,8,0,0,0,79.6,4,0
Aaron Smith,500,ED,6,PIT,279,173,103,3,63.2,68.2,76.6,55.0,60.4,10,0,2,8,0,10,3,2,6,1,0,0,0,,0,,0,0,0,0.0,0,0
Pierson Prioleau,501,S,9,NO,85,12,28,45,59.6,53.9,43.0,63.2,60.6,2,1,0,1,0,2,0,1,2,0,2,2,36,18.0,15,21,0,0,0,118.8,0,0
Eric Barton,516,LB,16,CLV,664,42,386,236,76.0,72.0,89.0,67.1,74.2,7,0,2,5,0,49,11,2,28,0,17,13,98,7.5,58,21,2,0,2,129.0,1,0
David Bowens,523,ED,15,CLV,460,136,195,129,71.1,54.3,65.1,69.3,78.1,17,1,3,13,4,28,11,3,14,0,13,9,86,9.6,63,22,0,2,0,47.8,0,0
Kelly Gregg,527,DI,16,BLT,450,200,243,7,59.5,64.2,77.3,56.3,32.9,7,0,0,7,0,18,8,1,13,0,3,2,16,8.0,20,14,0,0,0,79.9,1,0
Brendon Ayanbadejo,542,LB,2,BLT,3,0,0,3,83.6,,73.3,,77.6,0,0,0,0,0,1,0,0,0,1,1,1,5,5.0,2,5,0,0,0,87.5,0,0
Marques Douglas,549,DI,6,TEN,227,104,123,0,49.7,52.6,59.6,52.5,60.0,2,0,2,0,0,13,2,3,11,0,0,0,0,,0,,0,0,0,0.0,1,0
Brian Urlacher,587,LB,16,CHI,1024,78,367,579,80.8,73.5,82.6,73.9,77.5,13,5,4,4,1,99,13,12,55,1,73,53,545,10.3,210,45,3,1,8,101.7,1,0
Shaun Ellis,590,DI,15,NYJ,666,401,256,9,68.8,63.4,77.6,67.8,64.5,38,5,7,26,0,19,5,2,22,1,3,1,19,19.0,25,19,0,0,1,56.3,2,0
John Abraham,591,ED,15,ATL,601,362,181,58,83.6,60.3,67.8,87.6,63.2,57,13,10,34,3,25,3,3,32,1,8,6,40,6.7,40,25,0,1,1,45.8,2,1
Julian Peterson,594,LB,15,DET,919,57,385,477,53.1,51.8,57.5,59.7,56.5,4,1,0,3,1,59,18,11,33,0,58,47,539,11.5,415,89,3,0,4,122.6,4,0
Keith Bulluck,604,LB,13,NYG,313,4,190,119,71.9,70.0,69.5,67.0,68.1,1,0,0,1,0,19,3,4,12,0,16,8,76,9.5,56,28,1,2,0,44.8,0,0
Fred Robbins,623,DI,16,SL,646,439,205,2,75.5,69.8,77.3,72.5,68.9,33,6,6,21,5,18,5,1,23,1,1,0,0,,0,,0,0,0,39.6,3,0
Deon Grant,624,S,16,NYG,651,54,170,427,64.1,39.6,63.9,71.5,67.8,10,1,6,3,0,48,6,11,22,2,51,34,280,8.2,195,24,1,3,4,62.5,0,0
Na'il Diggs,652,LB,12,SL,389,38,214,137,59.5,60.9,66.9,63.6,55.0,4,0,0,4,0,27,7,5,14,0,13,8,113,14.1,85,38,0,0,2,89.6,1,0
Tyrone Carter,660,S,5,SD,26,0,10,16,72.0,72.9,82.2,,64.0,0,0,0,0,0,4,0,0,2,0,0,0,0,,0,,0,0,0,0.0,0,0
Clark Haggans,670,ED,13,ARZ,778,316,328,134,45.3,43.8,43.1,55.0,59.7,18,5,1,12,2,32,5,7,26,1,12,8,66,8.3,80,15,0,0,0,80.6,6,1
Dhani Jones,687,LB,16,CIN,991,77,410,504,57.0,67.0,82.2,48.1,53.0,2,1,0,1,0,100,17,9,55,1,65,56,553,9.9,296,37,2,0,2,112.4,2,0
Robaire Smith,696,DI,5,CLV,180,78,102,0,67.9,66.5,76.3,61.9,,7,0,1,6,0,11,5,1,7,0,0,0,0,,0,,0,0,0,0.0,0,0
Danny Clark,712,LB,14,NO,337,35,174,128,68.3,71.4,49.9,74.9,60.7,5,0,2,3,1,44,7,7,27,1,17,14,110,7.9,90,32,0,0,0,93.6,2,0
Alfonso Boone,715,DI,3,SD,57,32,25,0,38.3,28.6,,69.1,,4,0,0,4,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0.0,0,0
James Hall,733,ED,16,SL,802,493,259,50,68.2,52.9,57.4,77.6,57.2,48,10,7,31,1,39,5,3,38,4,5,5,35,7.0,31,18,0,0,0,95.8,4,1
Paris Lenon,751,LB,16,ARZ,1092,110,492,490,61.9,64.4,76.1,63.0,56.3,12,2,3,7,1,96,21,10,63,1,69,50,570,11.4,416,59,5,2,3,109.0,0,0
Adewale Ogunleye,757,ED,4,HST,87,53,34,0,41.0,41.1,25.4,56.6,57.9,4,0,1,3,0,2,0,1,1,0,0,0,0,,0,,0,0,0,0.0,1,0
Gerard Warren,775,DI,16,NE,506,259,247,0,56.7,49.8,78.2,62.2,62.6,18,4,3,11,0,16,8,0,14,0,0,0,0,,0,,0,0,0,0.0,0,0
Justin Smith,776,DI,16,SF,799,499,298,2,85.2,83.8,79.2,71.1,71.5,56,9,8,39,1,48,12,1,47,0,1,1,-2,-2.0,3,-2,0,0,0,79.2,2,0
Richard Seymour,778,DI,13,OAK,622,357,263,2,65.0,61.7,66.5,74.4,58.8,37,6,9,22,1,37,5,3,36,0,0,0,0,,0,,0,0,0,0.0,7,1
Andre Carter,779,ED,16,WAS,731,403,240,88,57.5,58.8,58.0,56.5,53.4,26,5,5,16,0,24,8,3,13,0,13,12,100,8.3,49,15,0,0,0,98.7,1,0
Damione Lewis,782,DI,10,HST,191,86,105,0,56.1,55.1,74.3,63.3,62.9,3,1,0,2,1,13,1,0,13,0,0,0,0,,0,,0,0,0,0.0,2,0
Marcus Stroud,783,DI,15,BUF,673,300,370,3,45.9,39.0,59.8,58.1,68.9,18,3,1,14,2,29,5,4,23,1,1,1,5,5.0,10,5,0,0,0,87.5,1,1
