player,player_id,position,player_game_count,team_name,snap_counts_offense,snap_counts_pass,snap_counts_pass_block,snap_counts_run_block,snap_counts_lt,snap_counts_lg,snap_counts_ce,snap_counts_rg,snap_counts_rt,grades_offense,grades_pass_block,grades_run_block,sacks_allowed,hits_allowed,hurries_allowed,pressures_allowed,penalties,declined_penalties
Mark Brunell,51,QB,3,NYJ,22,3,0,19,0,0,0,0,0,53.6,,60.0,0,0,0,0,0,0
Kerry Collins,115,QB,3,IND,161,105,0,56,0,0,0,0,0,44.0,,60.0,0,1,0,1,2,0
Jon Kitna,217,QB,3,DAL,20,10,0,10,0,0,0,0,0,65.5,,60.0,0,0,0,0,0,0
Casey Wiegmann,227,C,16,KC,1053,0,580,473,0,0,1087,0,0,72.6,84.2,65.8,0,2,7,9,2,0
Tony Gonzalez,237,TE,16,ATL,419,0,72,347,0,0,0,0,0,90.1,76.9,69.4,0,0,2,2,0,0
Jason Taylor,264,ED,1,MIA,2,0,0,2,0,0,0,0,0,60.0,,60.0,0,0,0,0,2,0
Derrick Mason,271,WR,12,HST,61,0,0,61,0,0,0,0,0,56.8,,72.2,0,0,0,0,0,0
Jake Delhomme,303,QB,1,HST,56,32,0,24,0,0,0,0,0,62.7,,60.0,0,0,0,0,0,0
Charlie Batch,367,QB,4,PIT,69,29,0,40,0,0,0,0,0,67.5,,60.0,1,0,0,1,1,0
Olin Kreutz,369,C,4,NO,221,0,152,69,0,0,227,0,0,46.9,68.2,45.9,0,0,6,6,3,1
Hines Ward,380,WR,15,PIT,159,0,1,158,0,0,0,0,0,67.0,68.1,88.4,0,0,0,0,1,0
Matt Birk,404,C,16,BLT,1059,0,618,441,0,0,1088,0,0,77.6,87.1,72.8,1,2,6,9,4,0
Matt Hasselbeck,408,QB,16,TEN,911,568,0,343,0,0,0,0,0,69.3,,60.0,2,0,0,2,2,0
Jeff Saturday,431,C,16,IND,975,0,593,382,0,0,1001,0,0,81.4,84.2,77.4,2,0,9,11,3,0
Michael Sellers,432,FB,8,WAS,37,0,5,32,0,0,0,0,0,68.6,20.9,74.4,1,0,1,2,0,0
Donovan McNabb,438,QB,6,MIN,342,187,0,155,0,0,0,0,0,70.5,,60.6,1,0,0,1,0,0
Ricky Williams,440,HB,16,BLT,46,0,30,16,0,0,0,0,0,61.5,50.0,58.5,1,1,2,4,0,0
Reggie Kelly,468,TE,16,ATL,187,0,38,149,3,0,0,0,1,75.5,81.0,78.6,0,0,0,0,2,0
Jim Kleinsasser,469,FB,16,MIN,305,0,108,197,0,0,0,0,3,82.8,53.2,91.4,0,2,8,10,4,0
Kevin Faulk,470,HB,6,NE,15,0,11,4,0,0,0,0,0,57.8,79.8,59.1,0,0,0,0,1,1
Brandon Stokley,498,WR,2,NYG,7,0,0,7,0,0,0,0,0,51.1,,57.6,0,0,0,0,0,0
Donald Driver,533,WR,16,GB,112,0,0,112,0,0,0,0,0,59.6,,55.8,0,0,0,0,0,0
Todd McClure,536,C,13,ATL,864,0,520,344,0,0,879,0,0,73.9,85.5,66.2,0,3,6,9,0,0
Brian Waters,575,G,16,NE,1112,0,675,437,0,0,0,1139,0,82.8,87.8,74.7,2,3,7,12,5,1
Thomas Jones,585,HB,16,KC,66,0,48,18,0,0,0,0,0,58.4,80.3,58.8,0,0,1,1,1,0
Plaxico Burress,586,WR,16,NYJ,308,0,0,308,0,0,0,0,0,71.3,,67.6,0,0,0,0,5,0
Anthony Becht,602,TE,9,KC,257,0,62,195,1,0,0,0,0,65.0,73.8,72.8,0,0,1,1,1,0
Chad Clifton,614,T,6,GB,294,0,193,101,309,0,0,0,0,61.3,54.8,66.3,2,5,15,22,3,1
Brad Meester,627,C,16,JAX,1041,0,564,477,0,0,1058,0,0,75.2,76.9,70.9,2,1,13,16,6,3
Bobbie Williams,628,G,9,CIN,560,0,324,236,1,0,0,574,0,72.0,69.1,71.6,1,3,5,9,5,1
Chris Redman,635,QB,5,ATL,59,28,0,31,0,0,0,0,0,45.4,,60.0,0,0,0,0,0,0
Cooper Carlisle,658,G,16,OAK,1072,0,603,469,0,0,0,1095,0,65.9,63.5,63.5,2,5,23,30,3,0
Sammy Morris,678,HB,3,DAL,13,0,9,4,0,0,0,0,0,69.8,53.1,58.1,0,0,1,1,0,0
Tom Brady,698,QB,16,NE,1091,688,0,403,0,0,0,0,0,88.1,,60.0,6,1,2,9,5,1
Billy Volek,768,QB,2,SD,6,0,0,6,0,0,0,0,0,56.3,,60.0,0,0,0,0,0,0
Michael Vick,773,QB,13,PHI,800,522,0,278,0,0,0,0,0,79.4,,60.3,7,3,4,14,7,0
LaDainian Tomlinson,777,HB,14,NYJ,84,1,73,10,0,0,0,0,0,63.9,76.8,60.7,0,0,4,4,0,0
