player,player_id,position,player_game_count,team_name,snap_counts_offense,snap_counts_pass,snap_counts_pass_block,snap_counts_run_block,snap_counts_lt,snap_counts_lg,snap_counts_ce,snap_counts_rg,snap_counts_rt,grades_offense,grades_pass_block,grades_run_block,sacks_allowed,hits_allowed,hurries_allowed,pressures_allowed,penalties,declined_penalties
Brett Favre,14,QB,13,MIN,717,409,1,307,0,0,0,0,0,59.5,60.9,60.0,4,4,1,9,9,0
Mark Brunell,51,QB,2,NYJ,42,15,0,27,0,0,0,0,0,71.9,,60.3,0,0,0,0,0,0
Tony Richardson,110,FB,16,NYJ,286,0,58,228,0,0,0,0,0,65.2,73.3,64.8,0,1,2,3,1,0
Kerry Collins,115,QB,10,TEN,497,309,0,188,0,0,0,0,0,68.0,,60.2,0,2,0,2,2,0
Joey Galloway,117,WR,10,WAS,81,0,0,81,0,0,0,0,0,54.6,,66.1,0,0,0,0,0,0
Todd Collins,131,QB,2,CHI,62,30,0,32,0,0,0,0,0,22.8,,60.3,0,0,0,0,0,0
Terrell Owens,188,WR,14,CIN,265,0,1,264,0,0,0,0,0,69.9,66.5,62.3,0,0,0,0,2,0
Jon Kitna,217,QB,10,DAL,591,373,0,218,0,0,0,0,0,60.2,,60.0,1,0,0,1,2,0
Casey Wiegmann,227,C,16,KC,1103,0,556,547,0,0,1126,0,0,73.2,72.8,69.9,0,9,13,22,2,1
Tony Gonzalez,237,TE,16,ATL,463,0,44,419,0,0,0,0,9,70.0,68.5,71.0,0,0,1,1,3,0
Mike Vrabel,268,ED,9,KC,11,0,0,11,0,0,0,0,0,46.1,,52.1,0,0,0,0,2,0
Derrick Mason,271,WR,16,BLT,325,0,0,325,0,0,0,0,0,77.4,,61.0,0,0,0,0,4,1
Todd Bouman,299,QB,1,JAX,59,39,0,20,0,0,0,0,0,49.6,,60.0,0,0,0,0,0,0
Jake Delhomme,303,QB,5,CLV,266,164,0,102,0,0,0,0,0,53.3,,60.8,0,0,1,1,2,0
Barry Sims,322,T,8,SF,392,0,234,158,400,0,0,0,0,70.7,74.8,64.2,4,2,9,15,2,0
Peyton Manning,327,QB,16,IND,1104,719,0,385,0,0,0,0,0,90.0,,60.0,1,0,1,2,3,0
Fred Taylor,333,HB,7,NE,13,0,5,8,0,0,0,0,0,68.4,33.3,58.3,0,0,1,1,0,0
Randy Moss,342,WR,16,TEN,267,1,0,266,0,0,0,0,0,56.7,,80.8,0,0,0,0,4,0
Alan Faneca,346,G,16,ARZ,960,0,643,317,0,983,0,0,0,68.6,65.8,67.2,3,5,26,34,1,0
Flozell Adams,354,T,16,PIT,905,0,494,411,0,0,0,0,925,69.1,58.1,81.8,6,4,30,40,7,2
Charlie Batch,367,QB,3,PIT,138,61,0,77,0,0,0,0,0,52.5,,60.0,1,0,0,1,1,0
Olin Kreutz,369,C,16,CHI,980,0,587,393,0,0,1007,0,0,58.2,75.4,52.6,1,2,10,13,7,1
Hines Ward,380,WR,16,PIT,304,0,2,302,0,0,0,0,0,72.6,68.7,90.7,0,0,0,0,2,0
Matt Birk,404,C,16,BLT,1056,0,574,482,0,0,1091,0,0,82.1,88.5,77.5,1,0,5,6,2,0
Matt Hasselbeck,408,QB,14,SEA,789,502,2,285,0,0,0,0,0,70.9,72.6,60.5,5,1,0,6,3,0
Brian Finneran,423,WR,16,ATL,148,0,8,140,0,0,0,0,0,66.4,63.6,74.7,0,1,0,1,1,0
Jeff Saturday,431,C,16,IND,1121,0,719,402,0,0,1155,0,0,84.8,87.3,80.7,0,2,6,8,5,0
Michael Sellers,432,FB,16,WAS,192,0,25,167,0,0,0,0,0,61.4,60.6,68.0,0,1,2,3,0,0
Donovan McNabb,438,QB,13,WAS,821,550,0,271,0,0,0,0,0,65.3,,60.3,2,0,0,2,4,0
Ricky Williams,440,HB,16,MIA,150,0,94,56,0,0,0,0,0,55.5,53.9,67.9,3,3,4,10,0,0
