player,player_id,position,player_game_count,team_name,snap_counts_offense,snap_counts_pass,snap_counts_pass_block,snap_counts_run_block,snap_counts_lt,snap_counts_lg,snap_counts_ce,snap_counts_rg,snap_counts_rt,grades_offense,grades_pass_block,grades_run_block,sacks_allowed,hits_allowed,hurries_allowed,pressures_allowed,penalties,declined_penalties
Tony Gonzalez,237,TE,16,ATL,375,0,59,316,0,0,0,0,1,85.6,74.4,58.6,0,1,2,3,4,0
Ronde Barber,261,S,3,TB,4,0,0,4,0,0,0,0,0,60.0,,60.0,0,0,0,0,5,0
Peyton Manning,327,QB,16,DEN,1091,646,0,445,0,0,0,0,0,91.5,,60.0,2,0,0,2,3,0
Randy Moss,342,WR,16,SF,187,0,0,187,0,0,0,0,0,74.6,,66.3,0,0,0,0,1,0
Charlie Batch,367,QB,2,PIT,129,80,1,48,0,0,0,0,0,60.2,61.3,60.0,1,1,0,2,1,0
Matt Birk,404,C,16,BLT,1017,0,612,405,0,0,1047,0,0,78.4,65.2,80.2,3,5,17,25,2,0
Matt Hasselbeck,408,QB,8,TEN,388,252,0,136,0,0,0,0,0,64.8,,60.0,1,0,0,1,4,0
Jeff Saturday,431,C,14,GB,960,0,603,357,0,0,980,0,0,62.7,82.1,50.7,3,2,5,10,1,0
Brandon Stokley,498,WR,15,DEN,192,0,0,192,0,0,0,0,0,75.5,,60.7,0,0,0,0,1,0
Donald Driver,533,WR,13,GB,32,0,0,32,0,0,0,0,0,53.3,,76.1,0,0,0,0,0,0
Todd McClure,536,C,16,ATL,1046,0,693,353,0,0,1059,0,0,73.7,73.0,73.1,5,4,11,20,4,0
Plaxico Burress,586,WR,4,PIT,8,0,0,8,0,0,0,0,0,71.5,,60.1,0,0,0,0,0,0
Brad Meester,627,C,16,JAX,1062,0,707,355,0,0,1082,0,0,63.2,71.6,56.8,3,3,15,21,2,0
Bobbie Williams,628,G,8,BLT,355,0,205,150,0,198,0,168,0,52.8,57.8,53.5,3,1,7,11,4,0
Cooper Carlisle,658,G,16,OAK,1076,0,701,375,0,1104,0,0,0,70.2,71.8,65.8,1,8,18,27,5,1
Tom Brady,698,QB,16,NE,1196,708,0,488,0,0,0,0,0,90.5,,60.0,2,1,0,3,3,0
Mike Leach,750,LS,1,ARZ,1,0,1,0,0,0,0,0,0,60.0,67.6,,0,0,0,0,0,0
Michael Vick,773,QB,10,PHI,644,434,0,210,0,0,0,0,0,57.8,,60.0,5,2,0,7,2,0
Leonard Davis,774,G,14,SF,128,0,40,88,0,25,0,47,3,50.4,15.8,61.2,1,1,3,5,2,0
Santana Moss,786,WR,16,WAS,120,0,0,120,0,0,0,0,0,68.3,,60.9,0,0,0,0,1,0
Steve Hutchinson,787,G,12,TEN,686,0,463,223,0,709,0,0,0,66.1,65.4,64.2,4,3,15,22,2,0
Jeff Backus,788,T,15,DET,1064,0,715,349,1091,0,0,0,0,68.3,75.1,51.5,1,14,31,46,6,2
Reggie Wayne,800,WR,16,IND,348,0,2,346,0,0,0,0,0,89.0,52.0,89.1,0,0,1,1,0,0
Todd Heap,801,TE,2,ARZ,34,0,5,29,0,0,0,0,0,76.3,28.2,61.7,0,0,0,0,0,0
Drew Brees,802,QB,16,NO,1082,725,0,357,0,0,0,0,0,84.7,,60.0,2,1,2,5,6,0
Dominic Raiola,820,C,16,DET,1199,0,814,385,0,0,1230,0,0,73.1,80.3,67.7,3,2,12,17,2,0
Adrian Wilson,831,S,1,ARZ,1,0,0,1,0,0,0,0,0,60.0,,60.0,0,0,0,0,3,0
Steve Smith,837,WR,16,CAR,348,0,0,348,0,0,0,0,0,80.9,,70.9,0,0,0,0,5,0
