player,player_id,position,player_game_count,team_name,snap_counts_offense,snap_counts_pass,snap_counts_pass_block,snap_counts_run_block,snap_counts_lt,snap_counts_lg,snap_counts_ce,snap_counts_rg,snap_counts_rt,grades_offense,grades_pass_block,grades_run_block,sacks_allowed,hits_allowed,hurries_allowed,pressures_allowed,penalties,declined_penalties
Tom Brady,698,QB,16,NE,1109,688,0,421,0,0,0,0,0,80.4,,60.1,2,7,7,16,4,0
Drew Brees,802,QB,11,NO,624,415,0,209,0,0,0,0,0,91.2,,60.9,3,0,3,6,2,0
Josh McCown,1085,QB,3,PHI,13,5,0,8,0,0,0,0,0,72.7,,60.0,0,0,0,0,0,0
Jason Witten,1384,TE,16,DAL,368,0,46,322,0,0,0,0,0,59.4,55.4,60.1,0,1,5,6,1,1
Eli Manning,1722,QB,4,NYG,246,160,0,86,0,0,0,0,0,62.8,,60.0,1,1,4,6,1,0
Larry Fitzgerald,1724,WR,16,ARZ,273,1,5,267,0,0,0,0,0,70.3,64.4,46.2,0,1,0,1,2,0
Philip Rivers,1725,QB,16,LAC,1026,682,0,344,0,0,0,0,0,74.3,,60.4,4,4,6,14,5,0
Ben Roethlisberger,1732,QB,2,PIT,95,74,0,21,0,0,0,0,0,49.0,,60.0,2,0,0,2,0,0
Benjamin Watson,1753,TE,10,NE,221,0,35,186,0,0,0,0,0,53.6,65.2,52.3,0,0,2,2,4,0
Matt Schaub,1811,QB,5,ATL,96,75,0,21,0,0,0,0,0,60.2,,60.0,1,0,0,1,0,0
Andy Lee,1906,P,2,ARZ,2,1,0,1,0,0,0,0,0,74.2,,60.0,0,0,0,0,0,0
Jason Peters,2148,T,13,PHI,872,0,562,310,884,1,0,0,0,82.4,87.3,72.5,3,4,14,21,10,0
Aaron Rodgers,2241,QB,16,GB,1037,681,0,356,0,0,0,0,0,81.2,,60.0,11,5,19,35,10,0
Frank Gore,2282,HB,16,BUF,76,1,35,40,0,0,0,0,0,64.1,70.4,56.8,0,1,1,2,0,0
Richie Incognito,2298,G,12,OAK,766,0,432,334,0,778,0,0,0,74.0,88.5,68.9,1,0,8,9,8,2
Dustin Colquitt,2316,P,2,KC,2,2,0,0,0,0,0,0,0,19.8,,,0,0,0,0,1,0
Darren Sproles,2347,HB,6,PHI,13,0,9,4,0,0,0,0,0,47.0,73.2,60.0,0,0,1,1,2,0
Ryan Fitzpatrick,2467,QB,15,MIA,855,620,0,235,0,0,0,0,0,76.5,,61.2,9,11,12,32,0,0
Vernon Davis,2951,TE,4,WAS,48,0,11,37,1,0,0,0,0,49.4,55.1,46.7,1,0,0,1,2,1
Marcedes Lewis,2973,TE,16,GB,328,0,68,260,0,0,0,0,0,71.0,73.8,68.3,1,0,3,4,1,0
Andrew Whitworth,3000,T,16,LA,1097,0,710,387,1130,0,0,0,0,72.8,84.7,55.3,1,3,25,29,14,1
Delanie Walker,3120,TE,7,TEN,40,0,5,35,0,0,0,0,0,64.0,23.3,57.7,0,0,1,1,1,0
Sam Koch,3148,P,3,BLT,3,1,0,2,0,0,0,0,0,60.8,,59.5,0,0,0,0,0,0
Donald Penn,3459,T,16,WAS,885,0,553,332,909,0,0,0,0,64.1,64.1,63.2,6,6,22,34,11,2
Adrian Peterson,3623,HB,15,WAS,44,0,30,14,0,0,0,0,0,67.7,21.2,58.3,1,1,3,5,0,0
Ted Ginn Jr.,3625,WR,16,NO,136,0,0,136,0,0,0,0,0,56.8,,54.8,0,0,0,0,0,0
Marshawn Lynch,3628,HB,1,SEA,1,0,0,1,0,0,0,0,0,59.2,,60.0,0,0,0,0,0,0
Joe Staley,3644,T,7,SF,434,0,257,177,449,0,0,0,0,72.7,77.0,64.6,2,2,3,7,2,0
Greg Olsen,3647,TE,14,CAR,318,0,49,269,1,0,0,0,2,66.9,70.1,49.4,2,0,0,2,0,0
Ryan Kalil,3675,C,7,NYJ,343,0,216,127,0,0,354,0,0,55.5,68.2,55.5,0,1,6,7,5,2
Marshal Yanda,3702,G,15,BLT,968,0,491,477,0,0,0,990,0,85.9,84.9,79.5,1,0,8,9,0,0
Zak DeOssie,3732,LS,1,NYG,1,0,1,0,0,0,0,0,0,60.0,62.1,,0,0,0,0,0,0
