player,player_id,position,player_game_count,team_name,snap_counts_offense,snap_counts_pass,snap_counts_pass_block,snap_counts_run_block,snap_counts_lt,snap_counts_lg,snap_counts_ce,snap_counts_rg,snap_counts_rt,grades_offense,grades_pass_block,grades_run_block,sacks_allowed,hits_allowed,hurries_allowed,pressures_allowed,penalties,declined_penalties
Jamon Meredith,5086,G,13,TB,478,0,240,238,0,452,0,0,0,64.1,64.5,64.2,1,7,11,19,6,1
Frank Summers,5093,FB,13,BUF,169,0,14,155,0,0,0,0,0,66.0,36.9,61.4,1,0,1,2,1,0
Bear Pascoe,5108,TE,16,NYG,227,0,29,198,0,0,0,0,0,72.6,57.4,77.0,1,0,1,2,0,0
Cedric Peerman,5109,HB,6,CIN,20,0,8,12,0,0,0,0,0,67.8,84.9,58.2,0,0,0,0,0,0
Matt Slauson,5117,G,16,CHI,1059,0,664,395,0,1070,0,0,0,84.8,82.7,77.9,2,9,15,26,2,1
Brandon Gibson,5118,WR,7,MIA,51,0,0,51,0,0,0,0,0,79.2,,82.1,0,0,0,0,0,0
Curtis Painter,5125,QB,3,NYG,37,18,0,19,0,0,0,0,0,28.5,,60.0,0,0,0,0,0,0
Brandon Myers,5126,TE,16,NYG,385,0,102,283,2,0,0,0,0,67.1,61.8,70.4,0,2,5,7,2,1
John Phillips,5132,TE,15,SD,198,0,18,180,0,1,0,0,0,64.6,74.2,66.2,0,0,0,0,2,0
Bernard Scott,5133,HB,2,BLT,2,0,1,1,0,0,0,0,0,56.7,73.0,60.0,0,0,0,0,0,0
Chris Ogbonnaya,5135,HB,16,CLV,197,0,152,45,0,0,0,0,0,59.5,75.3,61.5,2,2,10,14,0,0
Paul Fanaika,5137,G,16,ARZ,1084,0,658,426,0,0,0,1108,0,60.9,60.9,56.9,7,7,32,46,1,0
Pat McAfee,5146,P,1,IND,1,0,0,1,0,0,0,0,0,60.0,,60.0,0,0,0,0,0,0
A.Q. Shipley,5150,G,11,BLT,705,0,443,262,0,726,0,0,0,64.0,72.9,64.0,1,8,13,22,9,0
Julian Edelman,5156,WR,16,NE,390,0,3,387,0,0,0,0,0,79.3,68.9,64.4,0,0,0,0,4,1
LaRod Stephens-Howling,5164,HB,1,PIT,3,0,3,0,0,0,0,0,0,37.2,25.2,,1,0,0,1,0,0
David Johnson,5165,TE,5,PIT,57,0,18,39,0,0,0,0,0,88.7,63.1,75.2,0,0,1,1,0,0
Rashad Jennings,5174,HB,15,OAK,154,0,115,39,0,0,0,0,0,78.6,67.0,59.4,0,2,10,12,2,2
Tiquan Underwood,5177,WR,12,TB,185,0,0,185,0,0,0,0,0,65.8,,69.8,0,0,0,0,4,1
Chase Daniel,5214,QB,5,KC,91,48,0,43,0,0,0,0,0,61.0,,60.0,0,0,0,0,0,0
Will Ta'ufo'ou,5226,FB,16,JAX,231,0,51,180,0,0,0,0,0,61.2,46.1,66.7,0,1,4,5,0,0
